Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.08.2022 00:00;01.08.2022 00:15;984,25;320,50;783,75;1.575,00;0,75;28,50;988,50;3.013,50;1.672,25;706,75;104,25;246,50
01.08.2022 00:15;01.08.2022 00:30;976,00;314,75;797,25;1.603,50;0,75;28,50;987,00;2.987,25;1.700,00;703,00;15,00;246,50
01.08.2022 00:30;01.08.2022 00:45;974,75;315,00;782,00;1.608,75;0,75;28,50;988,50;2.992,25;1.721,25;676,00;7,75;246,50
01.08.2022 00:45;01.08.2022 01:00;974,75;313,75;784,50;1.653,00;0,75;28,50;987,75;2.998,25;1.743,50;677,75;4,25;246,50
01.08.2022 01:00;01.08.2022 01:15;963,25;317,00;831,00;1.698,50;0,50;28,50;990,00;3.003,25;1.755,00;647,25;28,75;248,50
01.08.2022 01:15;01.08.2022 01:30;959,75;314,25;873,00;1.726,25;0,75;28,75;989,75;3.010,50;1.761,00;628,50;17,25;248,50
01.08.2022 01:30;01.08.2022 01:45;959,00;312,25;906,25;1.769,50;0,50;28,75;990,25;3.006,00;1.760,25;634,00;16,50;248,50
01.08.2022 01:45;01.08.2022 02:00;959,50;311,00;912,75;1.817,75;0,50;28,75;989,25;2.997,00;1.777,25;632,00;12,25;248,75
01.08.2022 02:00;01.08.2022 02:15;955,25;309,50;899,00;1.830,00;0,75;28,50;991,00;3.006,00;1.807,00;627,00;10,50;248,50
01.08.2022 02:15;01.08.2022 02:30;951,50;308,00;909,25;1.827,75;0,50;28,50;991,00;2.999,75;1.821,00;628,75;3,75;248,50
