Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.02.2016 00:00;01.02.2016 00:15;11.953,50;12.577,25;623,75;8.378,25
01.02.2016 00:15;01.02.2016 00:30;11.755,00;12.434,00;679,00;8.227,00
01.02.2016 00:30;01.02.2016 00:45;11.594,00;12.451,25;857,25;8.065,25
01.02.2016 00:45;01.02.2016 01:00;11.472,00;12.467,75;995,75;7.922,25
01.02.2016 01:00;01.02.2016 01:15;11.406,75;12.356,25;949,50;7.899,00
01.02.2016 01:15;01.02.2016 01:30;11.275,50;12.244,50;969,00;7.814,00
01.02.2016 01:30;01.02.2016 01:45;11.284,50;12.313,50;1.029,00;7.872,25
01.02.2016 01:45;01.02.2016 02:00;11.264,00;12.227,25;963,25;7.892,50
01.02.2016 02:00;01.02.2016 02:15;11.102,25;12.154,00;1.051,75;7.748,75
01.02.2016 02:15;01.02.2016 02:30;11.144,75;12.156,00;1.011,25;7.824,75
01.02.2016 02:30;01.02.2016 02:45;11.146,50;12.151,75;1.005,25;7.869,25
01.02.2016 02:45;01.02.2016 03:00;11.171,25;12.070,75;899,50;7.938,00
01.02.2016 03:00;01.02.2016 03:15;11.233,25;12.128,00;894,75;8.077,25
01.02.2016 03:15;01.02.2016 03:30;11.238,50;12.114,75;876,25;8.110,00
01.02.2016 03:30;01.02.2016 03:45;11.309,25;12.218,50;909,25;8.214,50
01.02.2016 03:45;01.02.2016 04:00;11.447,25;12.317,75;870,50;8.367,00
01.02.2016 04:00;01.02.2016 04:15;11.569,00;12.416,00;847,00;8.518,50
01.02.2016 04:15;01.02.2016 04:30;11.706,50;12.460,75;754,25;8.714,75
01.02.2016 04:30;01.02.2016 04:45;11.911,25;12.506,00;594,75;8.941,75
01.02.2016 04:45;01.02.2016 05:00;12.050,75;12.649,50;598,75;9.086,75
01.02.2016 05:00;01.02.2016 05:15;12.440,75;13.200,25;759,50;9.469,00
01.02.2016 05:15;01.02.2016 05:30;12.582,00;13.244,75;662,75;9.587,25
01.02.2016 05:30;01.02.2016 05:45;13.035,50;13.562,50;527,00;10.001,00
01.02.2016 05:45;01.02.2016 06:00;13.512,75;13.898,75;386,00;10.467,00
01.02.2016 06:00;01.02.2016 06:15;14.335,75;14.760,50;424,75;11.320,75
01.02.2016 06:15;01.02.2016 06:30;14.990,25;15.018,75;28,50;11.975,50
01.02.2016 06:30;01.02.2016 06:45;15.529,50;15.540,25;10,75;12.499,75
01.02.2016 06:45;01.02.2016 07:00;16.089,50;16.100,25;10,75;13.032,50
01.02.2016 07:00;01.02.2016 07:15;16.641,50;16.687,50;46,00;13.571,50
01.02.2016 07:15;01.02.2016 07:30;17.010,25;17.060,50;50,25;13.868,00
01.02.2016 07:30;01.02.2016 07:45;17.225,75;17.259,00;33,25;13.992,00
01.02.2016 07:45;01.02.2016 08:00;17.375,25;17.432,50;57,25;14.029,25
01.02.2016 08:00;01.02.2016 08:15;17.560,25;17.586,50;26,25;14.048,50
01.02.2016 08:15;01.02.2016 08:30;17.658,50;17.679,50;21,00;13.942,75
01.02.2016 08:30;01.02.2016 08:45;17.777,25;17.813,25;36,00;13.852,25
01.02.2016 08:45;01.02.2016 09:00;17.737,50;17.838,25;100,75;13.556,50
01.02.2016 09:00;01.02.2016 09:15;17.624,00;17.710,00;86,00;13.229,00
01.02.2016 09:15;01.02.2016 09:30;17.699,50;17.764,25;64,75;13.174,75
01.02.2016 09:30;01.02.2016 09:45;17.876,75;17.957,00;80,25;13.121,25
01.02.2016 09:45;01.02.2016 10:00;17.932,25;18.020,25;88,00;12.929,00
01.02.2016 10:00;01.02.2016 10:15;18.087,50;18.131,25;43,75;12.841,25
01.02.2016 10:15;01.02.2016 10:30;18.082,00;18.151,50;69,50;12.622,50
01.02.2016 10:30;01.02.2016 10:45;18.153,25;18.223,50;70,25;12.474,00
01.02.2016 10:45;01.02.2016 11:00;18.296,25;18.395,75;99,50;12.479,75
01.02.2016 11:00;01.02.2016 11:15;18.459,75;18.494,50;34,75;12.434,75
01.02.2016 11:15;01.02.2016 11:30;18.541,50;18.575,00;33,50;12.365,00
01.02.2016 11:30;01.02.2016 11:45;18.686,00;18.699,25;13,25;12.344,25
01.02.2016 11:45;01.02.2016 12:00;18.715,25;18.718,25;3,00;12.131,50
01.02.2016 12:00;01.02.2016 12:15;18.610,75;18.612,50;1,75;11.826,00
01.02.2016 12:15;01.02.2016 12:30;18.535,25;18.537,00;1,75;11.499,25
01.02.2016 12:30;01.02.2016 12:45;18.579,75;18.624,75;45,00;11.317,25
01.02.2016 12:45;01.02.2016 13:00;18.657,50;18.703,25;45,75;11.226,75
01.02.2016 13:00;01.02.2016 13:15;18.747,25;18.763,50;16,25;11.209,50
