Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.11.2023 00:00;01.11.2023 00:15;11.019,25;11.242,50;223,25;7.364,75
01.11.2023 00:15;01.11.2023 00:30;10.786,75;11.054,25;267,50;7.105,75
01.11.2023 00:30;01.11.2023 00:45;10.679,25;11.015,50;336,25;7.021,75
01.11.2023 00:45;01.11.2023 01:00;10.559,50;10.925,75;366,25;6.952,50
01.11.2023 01:00;01.11.2023 01:15;10.398,75;10.601,50;202,75;6.834,50
01.11.2023 01:15;01.11.2023 01:30;10.285,00;10.495,25;210,25;6.799,50
01.11.2023 01:30;01.11.2023 01:45;10.228,50;10.474,25;245,75;6.782,50
01.11.2023 01:45;01.11.2023 02:00;10.168,75;10.479,00;310,25;6.735,00
01.11.2023 02:00;01.11.2023 02:15;10.183,25;10.541,25;358,00;6.742,00
01.11.2023 02:15;01.11.2023 02:30;10.148,50;10.674,25;525,75;6.655,50
01.11.2023 02:30;01.11.2023 02:45;10.069,50;10.678,75;609,25;6.536,50
01.11.2023 02:45;01.11.2023 03:00;10.090,25;10.671,50;581,25;6.531,00
01.11.2023 03:00;01.11.2023 03:15;10.063,75;10.595,25;531,50;6.475,25
01.11.2023 03:15;01.11.2023 03:30;10.026,25;10.718,00;691,75;6.354,00
01.11.2023 03:30;01.11.2023 03:45;9.948,75;10.710,25;761,50;6.218,50
01.11.2023 03:45;01.11.2023 04:00;9.987,00;10.830,50;843,50;6.185,50
01.11.2023 04:00;01.11.2023 04:15;10.033,25;11.019,50;986,25;6.152,00
01.11.2023 04:15;01.11.2023 04:30;10.032,00;11.041,25;1.009,25;6.084,25
01.11.2023 04:30;01.11.2023 04:45;10.120,50;11.082,00;961,50;6.141,50
01.11.2023 04:45;01.11.2023 05:00;10.227,50;11.200,75;973,25;6.231,25
01.11.2023 05:00;01.11.2023 05:15;10.343,50;11.055,25;711,75;6.304,50
01.11.2023 05:15;01.11.2023 05:30;10.415,00;11.093,50;678,50;6.337,25
01.11.2023 05:30;01.11.2023 05:45;10.483,75;11.020,00;536,25;6.408,00
01.11.2023 05:45;01.11.2023 06:00;10.639,25;11.127,75;488,50;6.533,75
01.11.2023 06:00;01.11.2023 06:15;11.018,50;11.430,25;411,75;6.857,25
01.11.2023 06:15;01.11.2023 06:30;11.217,00;11.454,75;237,75;7.022,00
01.11.2023 06:30;01.11.2023 06:45;11.478,50;11.617,00;138,50;7.222,75
01.11.2023 06:45;01.11.2023 07:00;11.664,25;11.772,50;108,25;7.352,00
01.11.2023 07:00;01.11.2023 07:15;11.846,25;11.906,00;59,75;7.532,25
01.11.2023 07:15;01.11.2023 07:30;12.028,50;12.089,75;61,25;7.626,00
01.11.2023 07:30;01.11.2023 07:45;12.184,75;12.237,25;52,50;7.578,25
01.11.2023 07:45;01.11.2023 08:00;12.284,50;12.335,00;50,50;7.438,75
01.11.2023 08:00;01.11.2023 08:15;12.404,25;12.418,25;14,00;7.236,75
01.11.2023 08:15;01.11.2023 08:30;12.597,50;12.602,25;4,75;7.053,00
01.11.2023 08:30;01.11.2023 08:45;12.723,75;12.737,50;13,75;6.856,75
01.11.2023 08:45;01.11.2023 09:00;12.866,00;12.926,50;60,50;6.700,25
01.11.2023 09:00;01.11.2023 09:15;12.858,50;12.898,75;40,25;6.393,50
01.11.2023 09:15;01.11.2023 09:30;12.976,25;13.060,00;83,75;6.183,75
01.11.2023 09:30;01.11.2023 09:45;13.148,75;13.368,50;219,75;6.017,50
01.11.2023 09:45;01.11.2023 10:00;13.266,00;13.558,00;292,00;5.819,50
01.11.2023 10:00;01.11.2023 10:15;13.405,00;13.581,50;176,50;5.708,50
01.11.2023 10:15;01.11.2023 10:30;13.527,75;13.777,75;250,00;5.602,75
01.11.2023 10:30;01.11.2023 10:45;13.532,50;13.828,50;296,00;5.387,50
01.11.2023 10:45;01.11.2023 11:00;13.527,00;13.842,50;315,50;5.197,50
01.11.2023 11:00;01.11.2023 11:15;13.523,75;13.780,50;256,75;5.031,00
01.11.2023 11:15;01.11.2023 11:30;13.715,00;14.102,00;387,00;5.082,75
01.11.2023 11:30;01.11.2023 11:45;13.821,50;14.177,25;355,75;5.091,00
01.11.2023 11:45;01.11.2023 12:00;13.757,75;14.192,25;434,50;4.952,00
01.11.2023 12:00;01.11.2023 12:15;13.683,25;13.975,25;292,00;4.844,75
01.11.2023 12:15;01.11.2023 12:30;13.619,00;14.061,25;442,25;4.832,50
01.11.2023 12:30;01.11.2023 12:45;13.596,25;13.867,75;271,50;4.980,50
01.11.2023 12:45;01.11.2023 13:00;13.510,00;13.853,50;343,50;4.966,75
01.11.2023 13:00;01.11.2023 13:15;13.379,00;13.921,25;542,25;4.951,00
01.11.2023 13:15;01.11.2023 13:30;13.234,75;13.787,50;552,75;4.914,50
01.11.2023 13:30;01.11.2023 13:45;13.129,50;13.578,50;449,00;4.917,50
01.11.2023 13:45;01.11.2023 14:00;13.085,50;13.541,50;456,00;5.100,00
01.11.2023 14:00;01.11.2023 14:15;13.106,00;13.824,75;718,75;5.393,50
01.11.2023 14:15;01.11.2023 14:30;13.048,00;13.516,50;468,50;5.570,75
01.11.2023 14:30;01.11.2023 14:45;12.958,25;13.180,50;222,25;5.687,50
01.11.2023 14:45;01.11.2023 15:00;12.930,00;12.970,50;40,50;5.857,00
01.11.2023 15:00;01.11.2023 15:15;12.975,50;13.112,75;137,25;6.105,00
01.11.2023 15:15;01.11.2023 15:30;13.049,75;13.113,50;63,75;6.376,25
01.11.2023 15:30;01.11.2023 15:45;13.094,25;13.134,50;40,25;6.624,75
01.11.2023 15:45;01.11.2023 16:00;13.067,25;13.114,75;47,50;6.657,00
01.11.2023 16:00;01.11.2023 16:15;13.205,50;13.259,25;53,75;6.770,00
01.11.2023 16:15;01.11.2023 16:30;13.309,00;13.339,00;30,00;6.763,25
01.11.2023 16:30;01.11.2023 16:45;13.488,00;13.501,50;13,50;6.743,00
01.11.2023 16:45;01.11.2023 17:00;13.681,50;13.694,75;13,25;6.644,25
01.11.2023 17:00;01.11.2023 17:15;14.022,25;14.043,50;21,25;6.763,00
01.11.2023 17:15;01.11.2023 17:30;14.360,00;14.406,25;46,25;6.865,25
01.11.2023 17:30;01.11.2023 17:45;14.526,50;14.579,75;53,25;6.758,50
01.11.2023 17:45;01.11.2023 18:00;14.653,00;14.743,25;90,25;6.623,50
01.11.2023 18:00;01.11.2023 18:15;14.629,75;14.695,00;65,25;6.365,00
01.11.2023 18:15;01.11.2023 18:30;14.604,25;14.649,00;44,75;6.137,75
01.11.2023 18:30;01.11.2023 18:45;14.530,50;14.639,25;108,75;5.869,25
01.11.2023 18:45;01.11.2023 19:00;14.549,75;14.661,75;112,00;5.743,25
01.11.2023 19:00;01.11.2023 19:15;14.467,50;14.474,75;7,25;5.567,00
01.11.2023 19:15;01.11.2023 19:30;14.387,75;14.400,75;13,00;5.439,00
01.11.2023 19:30;01.11.2023 19:45;14.257,50;14.325,75;68,25;5.264,00
01.11.2023 19:45;01.11.2023 20:00;14.083,75;14.244,25;160,50;5.043,50
01.11.2023 20:00;01.11.2023 20:15;13.915,25;14.088,00;172,75;4.888,50
01.11.2023 20:15;01.11.2023 20:30;13.719,50;13.997,25;277,75;4.711,25
01.11.2023 20:30;01.11.2023 20:45;13.660,75;14.217,00;556,25;4.681,25
01.11.2023 20:45;01.11.2023 21:00;13.555,75;14.371,25;815,50;4.621,25
01.11.2023 21:00;01.11.2023 21:15;13.307,75;13.509,75;202,00;4.415,50
01.11.2023 21:15;01.11.2023 21:30;13.127,75;13.495,00;367,25;4.204,50
01.11.2023 21:30;01.11.2023 21:45;13.053,75;13.647,75;594,00;4.138,25
01.11.2023 21:45;01.11.2023 22:00;12.913,50;13.687,00;773,50;4.064,75
01.11.2023 22:00;01.11.2023 22:15;12.883,50;13.389,00;505,50;4.220,00
01.11.2023 22:15;01.11.2023 22:30;12.716,25;13.322,50;606,25;4.035,75
01.11.2023 22:30;01.11.2023 22:45;12.512,50;13.341,25;828,75;3.868,00
01.11.2023 22:45;01.11.2023 23:00;12.311,00;13.327,75;1.016,75;3.785,25
01.11.2023 23:00;01.11.2023 23:15;12.042,25;12.725,50;683,25;3.632,25
01.11.2023 23:15;01.11.2023 23:30;11.790,25;12.632,50;842,25;3.468,00
01.11.2023 23:30;01.11.2023 23:45;11.671,50;12.702,50;1.031,00;3.406,25
01.11.2023 23:45;02.11.2023 00:00;11.556,00;12.638,75;1.082,75;3.403,75
02.11.2023 00:00;02.11.2023 00:15;11.266,75;12.347,75;1.081,00;3.393,00
02.11.2023 00:15;02.11.2023 00:30;11.105,75;12.284,00;1.178,25;3.281,00
02.11.2023 00:30;02.11.2023 00:45;10.977,75;12.133,50;1.155,75;3.300,50
02.11.2023 00:45;02.11.2023 01:00;10.875,75;12.008,50;1.132,75;3.319,50
