Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.02.2018 00:00;01.02.2018 00:15;1.195,00;460,00;1.043,75;5.000,00;0,00;56,75;2.313,75;3.958,75;1.092,25;1.037,00;1,75;321,75
01.02.2018 00:15;01.02.2018 00:30;1.193,25;461,50;1.044,50;4.987,50;0,00;56,75;2.308,75;3.959,75;1.079,25;1.001,25;1,50;320,50
01.02.2018 00:30;01.02.2018 00:45;1.193,00;461,25;1.052,50;4.932,50;0,00;56,75;2.302,50;3.910,75;1.034,50;991,00;1,50;322,50
01.02.2018 00:45;01.02.2018 01:00;1.193,75;455,75;1.055,00;4.838,25;0,00;56,75;2.304,00;3.864,50;1.015,75;989,75;2,00;321,00
01.02.2018 01:00;01.02.2018 01:15;1.193,00;459,25;1.059,00;4.783,75;0,00;56,75;2.321,50;3.893,00;988,50;985,25;4,50;320,25
01.02.2018 01:15;01.02.2018 01:30;1.193,25;457,50;1.062,75;4.693,75;0,00;56,75;2.316,25;3.877,50;989,75;981,50;2,50;322,25
01.02.2018 01:30;01.02.2018 01:45;1.193,25;459,75;1.061,50;4.583,75;0,00;56,75;2.319,50;3.869,50;987,25;983,25;3,50;321,50
01.02.2018 01:45;01.02.2018 02:00;1.193,50;454,25;1.056,25;4.573,25;0,00;56,75;2.313,75;3.859,25;992,75;984,00;3,25;321,25
01.02.2018 02:00;01.02.2018 02:15;1.191,00;458,25;1.045,25;4.543,25;0,00;56,75;2.320,25;3.820,50;991,00;985,50;6,00;320,00
01.02.2018 02:15;01.02.2018 02:30;1.192,25;466,50;1.037,00;4.493,75;0,00;57,00;2.313,50;3.788,50;1.003,25;982,25;4,75;319,25
01.02.2018 02:30;01.02.2018 02:45;1.192,25;455,25;1.038,75;4.544,75;0,00;57,00;2.309,25;3.782,00;1.002,75;984,00;2,00;318,75
01.02.2018 02:45;01.02.2018 03:00;1.192,50;454,50;1.028,75;4.549,00;0,00;57,00;2.308,50;3.779,50;983,25;985,75;1,75;319,00
01.02.2018 03:00;01.02.2018 03:15;1.189,75;453,75;1.022,25;4.507,25;0,00;57,00;2.285,75;3.780,75;969,25;987,25;1,75;319,50
01.02.2018 03:15;01.02.2018 03:30;1.188,75;463,75;1.027,25;4.458,25;0,00;56,75;2.253,50;3.768,00;974,00;984,50;1,75;318,25
01.02.2018 03:30;01.02.2018 03:45;1.188,50;453,75;1.012,00;4.435,75;0,00;57,00;2.280,75;3.782,00;976,00;983,75;4,50;318,25
01.02.2018 03:45;01.02.2018 04:00;1.187,25;452,25;1.023,75;4.456,75;0,00;57,00;2.277,25;3.782,00;979,00;982,25;2,00;310,50
01.02.2018 04:00;01.02.2018 04:15;1.186,75;462,00;1.024,50;4.385,50;0,00;56,75;2.277,00;3.799,25;978,75;999,75;2,00;319,75
01.02.2018 04:15;01.02.2018 04:30;1.187,75;452,00;1.041,75;4.259,00;0,00;56,75;2.297,50;3.802,25;992,25;1.001,25;2,00;319,75
01.02.2018 04:30;01.02.2018 04:45;1.186,75;456,50;1.060,25;4.213,00;0,00;56,75;2.326,00;3.811,25;1.000,25;1.009,50;2,00;319,25
01.02.2018 04:45;01.02.2018 05:00;1.185,75;450,75;1.056,50;4.195,50;0,00;56,75;2.325,25;3.812,75;1.054,75;1.035,50;2,75;321,25
01.02.2018 05:00;01.02.2018 05:15;1.189,25;459,50;1.058,50;4.161,25;0,00;57,75;2.305,00;3.804,50;1.287,75;1.106,50;40,75;323,75
01.02.2018 05:15;01.02.2018 05:30;1.194,50;452,75;1.048,25;4.145,25;0,00;59,25;2.300,50;3.826,50;1.356,00;1.154,50;50,00;325,00
01.02.2018 05:30;01.02.2018 05:45;1.196,00;450,00;1.051,50;4.166,75;0,00;59,50;2.303,75;3.898,00;1.403,75;1.213,50;70,00;325,50
