Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.07.2021 00:00;01.07.2021 00:15;12.417,25;12.754,00;336,75;9.751,00
01.07.2021 00:15;01.07.2021 00:30;12.320,50;12.608,50;288,00;9.577,25
01.07.2021 00:30;01.07.2021 00:45;12.181,50;12.473,75;292,25;9.404,50
01.07.2021 00:45;01.07.2021 01:00;12.191,50;12.468,00;276,50;9.378,00
01.07.2021 01:00;01.07.2021 01:15;12.025,25;12.406,50;381,25;9.174,50
01.07.2021 01:15;01.07.2021 01:30;11.893,75;12.326,25;432,50;8.977,25
01.07.2021 01:30;01.07.2021 01:45;11.886,00;12.309,25;423,25;8.948,00
01.07.2021 01:45;01.07.2021 02:00;11.796,75;12.299,00;502,25;8.811,00
01.07.2021 02:00;01.07.2021 02:15;11.664,75;12.355,00;690,25;8.664,25
01.07.2021 02:15;01.07.2021 02:30;11.678,25;12.446,25;768,00;8.635,00
01.07.2021 02:30;01.07.2021 02:45;11.705,75;12.524,50;818,75;8.606,25
01.07.2021 02:45;01.07.2021 03:00;11.698,00;12.581,50;883,50;8.553,25
01.07.2021 03:00;01.07.2021 03:15;11.699,25;12.506,75;807,50;8.563,75
01.07.2021 03:15;01.07.2021 03:30;11.698,00;12.511,00;813,00;8.545,25
01.07.2021 03:30;01.07.2021 03:45;11.764,25;12.612,50;848,25;8.647,00
01.07.2021 03:45;01.07.2021 04:00;11.814,00;12.664,75;850,75;8.674,75
01.07.2021 04:00;01.07.2021 04:15;11.819,50;12.768,00;948,50;8.656,25
01.07.2021 04:15;01.07.2021 04:30;11.940,50;12.928,50;988,00;8.685,00
01.07.2021 04:30;01.07.2021 04:45;12.076,75;13.067,00;990,25;8.708,50
01.07.2021 04:45;01.07.2021 05:00;12.222,75;13.219,50;996,75;8.779,25
01.07.2021 05:00;01.07.2021 05:15;12.418,75;13.077,75;659,00;8.875,50
01.07.2021 05:15;01.07.2021 05:30;12.491,75;13.111,25;619,50;8.840,75
01.07.2021 05:30;01.07.2021 05:45;12.769,00;13.406,75;637,75;9.069,50
01.07.2021 05:45;01.07.2021 06:00;13.231,75;13.754,00;522,25;9.407,50
01.07.2021 06:00;01.07.2021 06:15;13.998,75;14.373,00;374,25;10.106,75
01.07.2021 06:15;01.07.2021 06:30;14.512,25;14.709,25;197,00;10.576,00
01.07.2021 06:30;01.07.2021 06:45;14.764,75;14.916,75;152,00;10.758,25
01.07.2021 06:45;01.07.2021 07:00;14.999,75;15.109,50;109,75;10.887,25
01.07.2021 07:00;01.07.2021 07:15;15.555,25;15.591,50;36,25;11.352,25
01.07.2021 07:15;01.07.2021 07:30;15.783,25;15.786,25;3,00;11.509,25
01.07.2021 07:30;01.07.2021 07:45;16.032,25;16.034,75;2,50;11.703,50
01.07.2021 07:45;01.07.2021 08:00;16.269,00;16.271,75;2,75;11.898,25
01.07.2021 08:00;01.07.2021 08:15;16.552,50;16.555,25;2,75;12.102,00
01.07.2021 08:15;01.07.2021 08:30;16.755,50;16.758,00;2,50;12.256,50
01.07.2021 08:30;01.07.2021 08:45;16.861,00;16.863,00;2,00;12.309,75
01.07.2021 08:45;01.07.2021 09:00;16.885,00;16.887,00;2,00;12.249,00
01.07.2021 09:00;01.07.2021 09:15;16.831,25;16.833,25;2,00;12.113,50
01.07.2021 09:15;01.07.2021 09:30;16.937,00;16.939,50;2,50;12.136,75
01.07.2021 09:30;01.07.2021 09:45;17.016,50;17.018,75;2,25;12.091,75
01.07.2021 09:45;01.07.2021 10:00;17.113,00;17.115,25;2,25;12.094,75
01.07.2021 10:00;01.07.2021 10:15;17.255,25;17.257,75;2,50;12.071,75
01.07.2021 10:15;01.07.2021 10:30;17.299,75;17.302,25;2,50;11.977,25
01.07.2021 10:30;01.07.2021 10:45;17.447,25;17.453,50;6,25;11.983,75
01.07.2021 10:45;01.07.2021 11:00;17.535,25;17.552,00;16,75;11.940,25
01.07.2021 11:00;01.07.2021 11:15;17.631,25;17.663,75;32,50;11.939,25
01.07.2021 11:15;01.07.2021 11:30;17.759,50;17.799,50;40,00;11.933,50
01.07.2021 11:30;01.07.2021 11:45;17.811,25;17.845,75;34,50;11.953,25
01.07.2021 11:45;01.07.2021 12:00;17.845,75;17.899,75;54,00;11.805,00
01.07.2021 12:00;01.07.2021 12:15;17.798,25;17.878,75;80,50;11.690,00
01.07.2021 12:15;01.07.2021 12:30;17.718,25;17.822,25;104,00;11.480,25
01.07.2021 12:30;01.07.2021 12:45;17.707,50;17.809,25;101,75;11.423,75
01.07.2021 12:45;01.07.2021 13:00;17.711,50;17.835,50;124,00;11.390,75
01.07.2021 13:00;01.07.2021 13:15;17.585,25;17.669,00;83,75;11.264,75
01.07.2021 13:15;01.07.2021 13:30;17.529,75;17.612,75;83,00;11.158,25
01.07.2021 13:30;01.07.2021 13:45;17.310,75;17.367,50;56,75;11.058,50
01.07.2021 13:45;01.07.2021 14:00;17.192,25;17.295,00;102,75;10.955,75
01.07.2021 14:00;01.07.2021 14:15;17.029,00;17.112,25;83,25;10.804,25
01.07.2021 14:15;01.07.2021 14:30;17.017,75;17.087,50;69,75;10.797,75
01.07.2021 14:30;01.07.2021 14:45;16.976,75;17.042,75;66,00;10.798,50
01.07.2021 14:45;01.07.2021 15:00;16.882,50;16.949,25;66,75;10.781,00
01.07.2021 15:00;01.07.2021 15:15;16.841,75;16.937,00;95,25;10.813,50
01.07.2021 15:15;01.07.2021 15:30;16.746,00;16.843,75;97,75;10.800,50
01.07.2021 15:30;01.07.2021 15:45;16.655,00;16.750,00;95,00;10.860,00
01.07.2021 15:45;01.07.2021 16:00;16.535,75;16.629,75;94,00;10.845,25
01.07.2021 16:00;01.07.2021 16:15;16.482,75;16.601,50;118,75;10.945,25
01.07.2021 16:15;01.07.2021 16:30;16.408,75;16.503,75;95,00;11.052,00
01.07.2021 16:30;01.07.2021 16:45;16.305,50;16.340,00;34,50;11.135,50
01.07.2021 16:45;01.07.2021 17:00;16.222,25;16.256,50;34,25;11.282,50
01.07.2021 17:00;01.07.2021 17:15;16.343,50;16.489,25;145,75;11.616,75
01.07.2021 17:15;01.07.2021 17:30;16.258,25;16.350,50;92,25;11.764,25
01.07.2021 17:30;01.07.2021 17:45;16.297,00;16.329,00;32,00;12.064,50
01.07.2021 17:45;01.07.2021 18:00;16.260,75;16.294,50;33,75;12.276,50
01.07.2021 18:00;01.07.2021 18:15;16.230,00;16.325,25;95,25;12.472,75
01.07.2021 18:15;01.07.2021 18:30;16.138,75;16.248,75;110,00;12.562,75
01.07.2021 18:30;01.07.2021 18:45;15.972,00;16.009,75;37,75;12.610,50
01.07.2021 18:45;01.07.2021 19:00;15.926,25;15.955,25;29,00;12.793,25
01.07.2021 19:00;01.07.2021 19:15;15.900,00;15.967,75;67,75;12.962,75
01.07.2021 19:15;01.07.2021 19:30;15.734,75;15.785,50;50,75;12.993,25
01.07.2021 19:30;01.07.2021 19:45;15.658,00;15.671,75;13,75;13.136,75
01.07.2021 19:45;01.07.2021 20:00;15.432,25;15.446,00;13,75;13.046,75
01.07.2021 20:00;01.07.2021 20:15;15.156,75;15.186,25;29,50;12.927,00
01.07.2021 20:15;01.07.2021 20:30;14.985,50;15.009,25;23,75;12.929,50
01.07.2021 20:30;01.07.2021 20:45;14.840,25;14.844,50;4,25;12.957,50
01.07.2021 20:45;01.07.2021 21:00;14.690,25;14.693,50;3,25;12.934,50
01.07.2021 21:00;01.07.2021 21:15;14.430,00;14.433,25;3,25;12.743,25
01.07.2021 21:15;01.07.2021 21:30;14.306,25;14.309,50;3,25;12.662,75
01.07.2021 21:30;01.07.2021 21:45;14.164,50;14.167,25;2,75;12.581,75
01.07.2021 21:45;01.07.2021 22:00;14.046,50;14.049,75;3,25;12.520,25
01.07.2021 22:00;01.07.2021 22:15;13.968,00;13.971,25;3,25;12.476,50
01.07.2021 22:15;01.07.2021 22:30;13.785,25;13.787,25;2,00;12.300,00
01.07.2021 22:30;01.07.2021 22:45;13.511,00;13.524,25;13,25;12.024,75
01.07.2021 22:45;01.07.2021 23:00;13.253,00;13.281,50;28,50;11.767,00
01.07.2021 23:00;01.07.2021 23:15;12.979,75;12.983,25;3,50;11.482,00
01.07.2021 23:15;01.07.2021 23:30;12.752,50;12.754,50;2,00;11.271,50
01.07.2021 23:30;01.07.2021 23:45;12.573,25;12.575,75;2,50;11.086,75
01.07.2021 23:45;02.07.2021 00:00;12.473,75;12.521,50;47,75;10.988,00
02.07.2021 00:00;02.07.2021 00:15;12.175,75;12.334,00;158,25;10.699,75
02.07.2021 00:15;02.07.2021 00:30;12.054,25;12.238,50;184,25;10.580,25
02.07.2021 00:30;02.07.2021 00:45;11.979,00;12.196,25;217,25;10.513,00
02.07.2021 00:45;02.07.2021 01:00;11.909,50;12.266,25;356,75;10.454,75
02.07.2021 01:00;02.07.2021 01:15;11.735,00;12.079,25;344,25;10.291,25
02.07.2021 01:15;02.07.2021 01:30;11.656,00;12.083,00;427,00;10.219,75
02.07.2021 01:30;02.07.2021 01:45;11.585,50;12.016,25;430,75;10.128,00
02.07.2021 01:45;02.07.2021 02:00;11.523,00;12.025,50;502,50;10.050,75
02.07.2021 02:00;02.07.2021 02:15;11.485,25;12.096,25;611,00;10.017,75
02.07.2021 02:15;02.07.2021 02:30;11.404,25;12.017,75;613,50;9.951,25
02.07.2021 02:30;02.07.2021 02:45;11.456,50;12.058,75;602,25;10.032,00
02.07.2021 02:45;02.07.2021 03:00;11.460,25;12.083,25;623,00;10.064,00
02.07.2021 03:00;02.07.2021 03:15;11.486,75;12.169,50;682,75;10.091,00
02.07.2021 03:15;02.07.2021 03:30;11.473,75;12.173,00;699,25;10.074,75
02.07.2021 03:30;02.07.2021 03:45;11.498,75;12.193,25;694,50;10.086,75
02.07.2021 03:45;02.07.2021 04:00;11.564,00;12.250,25;686,25;10.127,00
02.07.2021 04:00;02.07.2021 04:15;11.719,25;12.388,75;669,50;10.254,00
02.07.2021 04:15;02.07.2021 04:30;11.725,25;12.403,25;678,00;10.258,50
02.07.2021 04:30;02.07.2021 04:45;11.839,50;12.510,25;670,75;10.382,25
02.07.2021 04:45;02.07.2021 05:00;11.879,25;12.482,00;602,75;10.437,50
02.07.2021 05:00;02.07.2021 05:15;12.003,75;12.380,50;376,75;10.541,75
02.07.2021 05:15;02.07.2021 05:30;12.088,50;12.462,25;373,75;10.600,50
02.07.2021 05:30;02.07.2021 05:45;12.287,75;12.562,00;274,25;10.800,50
02.07.2021 05:45;02.07.2021 06:00;12.578,50;12.804,75;226,25;11.071,25
02.07.2021 06:00;02.07.2021 06:15;13.285,50;13.389,75;104,25;11.731,00
02.07.2021 06:15;02.07.2021 06:30;13.620,00;13.664,00;44,00;12.017,00
