Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.10.2022 00:00;01.10.2022 00:15;11.401,75;11.802,25;400,50;5.007,50
01.10.2022 00:15;01.10.2022 00:30;11.262,25;11.546,50;284,25;4.705,50
01.10.2022 00:30;01.10.2022 00:45;11.108,50;11.531,25;422,75;4.464,25
01.10.2022 00:45;01.10.2022 01:00;10.982,00;11.460,00;478,00;4.172,00
01.10.2022 01:00;01.10.2022 01:15;10.835,75;11.479,25;643,50;4.056,25
01.10.2022 01:15;01.10.2022 01:30;10.754,00;11.530,50;776,50;3.918,00
01.10.2022 01:30;01.10.2022 01:45;10.705,25;11.676,25;971,00;3.874,00
01.10.2022 01:45;01.10.2022 02:00;10.655,25;11.708,25;1.053,00;3.891,25
01.10.2022 02:00;01.10.2022 02:15;10.605,50;11.603,50;998,00;3.699,25
01.10.2022 02:15;01.10.2022 02:30;10.583,50;11.516,50;933,00;3.573,00
01.10.2022 02:30;01.10.2022 02:45;10.613,75;11.631,50;1.017,75;3.522,75
01.10.2022 02:45;01.10.2022 03:00;10.548,25;11.697,00;1.148,75;3.512,25
01.10.2022 03:00;01.10.2022 03:15;10.555,25;11.845,00;1.289,75;3.445,75
01.10.2022 03:15;01.10.2022 03:30;10.586,25;11.807,50;1.221,25;3.418,50
01.10.2022 03:30;01.10.2022 03:45;10.580,50;11.825,75;1.245,25;3.408,50
01.10.2022 03:45;01.10.2022 04:00;10.476,00;11.801,75;1.325,75;3.197,75
01.10.2022 04:00;01.10.2022 04:15;10.540,00;11.988,50;1.448,50;3.283,50
01.10.2022 04:15;01.10.2022 04:30;10.565,00;12.015,25;1.450,25;3.261,00
01.10.2022 04:30;01.10.2022 04:45;10.605,25;12.014,25;1.409,00;3.354,00
01.10.2022 04:45;01.10.2022 05:00;10.699,75;12.124,00;1.424,25;3.360,50
01.10.2022 05:00;01.10.2022 05:15;10.749,50;12.202,25;1.452,75;3.076,50
01.10.2022 05:15;01.10.2022 05:30;10.794,75;12.237,00;1.442,25;3.046,25
01.10.2022 05:30;01.10.2022 05:45;10.864,25;12.342,25;1.478,00;3.022,50
01.10.2022 05:45;01.10.2022 06:00;10.996,25;12.495,25;1.499,00;2.944,00
01.10.2022 06:00;01.10.2022 06:15;11.082,75;12.559,50;1.476,75;2.898,25
01.10.2022 06:15;01.10.2022 06:30;11.315,00;12.742,75;1.427,75;3.100,75
01.10.2022 06:30;01.10.2022 06:45;11.504,75;12.904,50;1.399,75;3.100,50
01.10.2022 06:45;01.10.2022 07:00;11.592,25;13.013,25;1.421,00;3.000,50
01.10.2022 07:00;01.10.2022 07:15;11.879,25;13.252,50;1.373,25;3.169,00
01.10.2022 07:15;01.10.2022 07:30;11.978,00;13.350,50;1.372,50;3.187,25
01.10.2022 07:30;01.10.2022 07:45;12.084,00;13.357,50;1.273,50;3.144,50
01.10.2022 07:45;01.10.2022 08:00;12.308,75;13.341,50;1.032,75;3.354,00
01.10.2022 08:00;01.10.2022 08:15;12.562,50;13.683,25;1.120,75;3.412,75
01.10.2022 08:15;01.10.2022 08:30;12.749,25;13.823,00;1.073,75;3.418,75
01.10.2022 08:30;01.10.2022 08:45;12.955,25;13.827,50;872,25;3.575,00
01.10.2022 08:45;01.10.2022 09:00;13.165,25;13.867,75;702,50;3.759,00
01.10.2022 09:00;01.10.2022 09:15;13.294,25;13.624,50;330,25;3.666,00
01.10.2022 09:15;01.10.2022 09:30;13.473,50;13.806,25;332,75;3.795,50
01.10.2022 09:30;01.10.2022 09:45;13.646,75;13.877,00;230,25;3.988,25
01.10.2022 09:45;01.10.2022 10:00;13.721,25;13.859,75;138,50;4.122,75
01.10.2022 10:00;01.10.2022 10:15;13.815,25;14.026,75;211,50;4.159,00
01.10.2022 10:15;01.10.2022 10:30;13.912,00;14.121,25;209,25;4.220,75
01.10.2022 10:30;01.10.2022 10:45;13.960,50;14.183,75;223,25;4.302,50
01.10.2022 10:45;01.10.2022 11:00;14.027,25;14.228,25;201,00;4.401,00
01.10.2022 11:00;01.10.2022 11:15;14.155,00;14.409,00;254,00;4.531,75
01.10.2022 11:15;01.10.2022 11:30;14.266,75;14.542,25;275,50;4.448,75
01.10.2022 11:30;01.10.2022 11:45;14.371,25;14.659,50;288,25;4.414,00
01.10.2022 11:45;01.10.2022 12:00;14.282,75;14.695,00;412,25;4.267,00
01.10.2022 12:00;01.10.2022 12:15;14.159,00;14.505,25;346,25;3.960,25
01.10.2022 12:15;01.10.2022 12:30;14.155,00;14.511,25;356,25;3.880,25
01.10.2022 12:30;01.10.2022 12:45;14.044,75;14.486,75;442,00;3.692,75
01.10.2022 12:45;01.10.2022 13:00;13.958,75;14.470,50;511,75;3.533,75
01.10.2022 13:00;01.10.2022 13:15;14.012,25;14.718,50;706,25;3.670,00
