Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.03.2017 00:00;01.03.2017 00:15;13.741,50;14.230,75;489,25;8.005,25
01.03.2017 00:15;01.03.2017 00:30;13.496,50;14.227,25;730,75;7.698,50
01.03.2017 00:30;01.03.2017 00:45;13.369,50;14.358,75;989,25;7.527,00
01.03.2017 00:45;01.03.2017 01:00;13.198,75;14.262,25;1.063,50;7.312,50
01.03.2017 01:00;01.03.2017 01:15;13.161,75;13.923,00;761,25;7.274,75
01.03.2017 01:15;01.03.2017 01:30;13.083,75;13.907,75;824,00;7.215,50
01.03.2017 01:30;01.03.2017 01:45;12.990,50;13.855,75;865,25;7.103,25
01.03.2017 01:45;01.03.2017 02:00;13.057,00;13.911,75;854,75;7.196,75
01.03.2017 02:00;01.03.2017 02:15;12.794,25;13.522,50;728,25;6.966,00
01.03.2017 02:15;01.03.2017 02:30;12.860,75;13.585,50;724,75;7.058,00
01.03.2017 02:30;01.03.2017 02:45;12.852,75;13.545,00;692,25;7.107,00
01.03.2017 02:45;01.03.2017 03:00;12.934,00;13.584,00;650,00;7.249,25
01.03.2017 03:00;01.03.2017 03:15;12.872,00;13.833,50;961,50;7.274,25
01.03.2017 03:15;01.03.2017 03:30;12.935,00;13.731,00;796,00;7.425,00
01.03.2017 03:30;01.03.2017 03:45;12.988,25;13.737,75;749,50;7.553,50
01.03.2017 03:45;01.03.2017 04:00;13.039,50;13.703,75;664,25;7.660,50
01.03.2017 04:00;01.03.2017 04:15;12.926,50;13.725,00;798,50;7.624,25
01.03.2017 04:15;01.03.2017 04:30;12.992,50;13.822,75;830,25;7.688,00
01.03.2017 04:30;01.03.2017 04:45;13.190,75;13.901,25;710,50;7.888,00
01.03.2017 04:45;01.03.2017 05:00;13.426,00;13.980,50;554,50;8.139,25
01.03.2017 05:00;01.03.2017 05:15;13.490,25;14.263,75;773,50;8.262,25
01.03.2017 05:15;01.03.2017 05:30;13.671,75;14.364,25;692,50;8.471,75
