Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.01.2015 00:00;01.01.2015 00:15;11.210,00;11.333,00;123,00;9.051,75
01.01.2015 00:15;01.01.2015 00:30;11.118,75;11.273,00;154,25;8.966,50
01.01.2015 00:30;01.01.2015 00:45;11.144,75;11.305,25;160,50;8.976,00
01.01.2015 00:45;01.01.2015 01:00;11.126,75;11.290,50;163,75;8.961,50
01.01.2015 01:00;01.01.2015 01:15;11.009,50;11.097,00;87,50;8.835,00
01.01.2015 01:15;01.01.2015 01:30;10.923,25;11.009,25;86,00;8.718,75
01.01.2015 01:30;01.01.2015 01:45;10.817,00;10.903,25;86,25;8.613,50
01.01.2015 01:45;01.01.2015 02:00;10.705,00;10.791,50;86,50;8.473,75
01.01.2015 02:00;01.01.2015 02:15;10.650,00;10.736,25;86,25;8.386,50
01.01.2015 02:15;01.01.2015 02:30;10.546,75;10.641,00;94,25;8.284,00
01.01.2015 02:30;01.01.2015 02:45;10.437,75;10.558,50;120,75;8.180,75
01.01.2015 02:45;01.01.2015 03:00;10.328,75;10.549,25;220,50;8.058,00
01.01.2015 03:00;01.01.2015 03:15;10.258,00;10.543,25;285,25;7.980,00
01.01.2015 03:15;01.01.2015 03:30;10.178,00;10.471,00;293,00;7.923,00
01.01.2015 03:30;01.01.2015 03:45;10.119,25;10.445,75;326,50;7.868,00
01.01.2015 03:45;01.01.2015 04:00;10.062,50;10.386,00;323,50;7.777,00
01.01.2015 04:00;01.01.2015 04:15;10.035,25;10.465,50;430,25;7.721,50
01.01.2015 04:15;01.01.2015 04:30;9.963,25;10.398,50;435,25;7.652,50
01.01.2015 04:30;01.01.2015 04:45;9.980,00;10.426,75;446,75;7.700,00
01.01.2015 04:45;01.01.2015 05:00;9.958,25;10.467,50;509,25;7.699,50
01.01.2015 05:00;01.01.2015 05:15;9.940,25;10.502,50;562,25;7.610,25
01.01.2015 05:15;01.01.2015 05:30;9.867,00;10.465,75;598,75;7.550,25
01.01.2015 05:30;01.01.2015 05:45;9.795,00;10.432,00;637,00;7.494,25
01.01.2015 05:45;01.01.2015 06:00;9.670,25;10.330,50;660,25;7.386,00
01.01.2015 06:00;01.01.2015 06:15;9.472,25;10.151,75;679,50;7.159,25
01.01.2015 06:15;01.01.2015 06:30;9.445,75;10.171,50;725,75;7.079,25
01.01.2015 06:30;01.01.2015 06:45;9.477,00;10.224,25;747,25;7.001,00
01.01.2015 06:45;01.01.2015 07:00;9.455,25;10.170,00;714,75;6.922,00
01.01.2015 07:00;01.01.2015 07:15;9.487,00;10.217,00;730,00;6.951,25
01.01.2015 07:15;01.01.2015 07:30;9.488,00;10.220,75;732,75;6.921,00
01.01.2015 07:30;01.01.2015 07:45;9.539,75;10.282,00;742,25;6.930,75
01.01.2015 07:45;01.01.2015 08:00;9.583,75;10.280,00;696,25;6.964,25
01.01.2015 08:00;01.01.2015 08:15;9.626,00;10.380,00;754,00;7.029,75
01.01.2015 08:15;01.01.2015 08:30;9.631,75;10.409,25;777,50;7.020,00
01.01.2015 08:30;01.01.2015 08:45;9.696,75;10.268,50;571,75;7.171,25
01.01.2015 08:45;01.01.2015 09:00;9.838,00;10.374,50;536,50;7.310,25
01.01.2015 09:00;01.01.2015 09:15;10.061,25;10.584,25;523,00;7.509,25
01.01.2015 09:15;01.01.2015 09:30;10.244,75;10.661,50;416,75;7.584,75
01.01.2015 09:30;01.01.2015 09:45;10.448,00;10.862,50;414,50;7.698,00
01.01.2015 09:45;01.01.2015 10:00;10.652,25;11.071,25;419,00;7.812,25
01.01.2015 10:00;01.01.2015 10:15;10.804,25;11.222,00;417,75;7.846,50
01.01.2015 10:15;01.01.2015 10:30;10.971,00;11.282,25;311,25;7.898,50
01.01.2015 10:30;01.01.2015 10:45;11.157,00;11.455,25;298,25;7.929,25
01.01.2015 10:45;01.01.2015 11:00;11.334,25;11.606,75;272,50;7.925,50
01.01.2015 11:00;01.01.2015 11:15;11.586,50;11.800,00;213,50;8.058,25
01.01.2015 11:15;01.01.2015 11:30;11.739,75;11.888,50;148,75;8.113,25
01.01.2015 11:30;01.01.2015 11:45;11.888,25;12.026,00;137,75;8.157,25
01.01.2015 11:45;01.01.2015 12:00;11.991,75;12.200,00;208,25;8.123,50
01.01.2015 12:00;01.01.2015 12:15;12.071,50;12.243,00;171,50;8.099,00
01.01.2015 12:15;01.01.2015 12:30;12.162,25;12.398,00;235,75;8.065,50
01.01.2015 12:30;01.01.2015 12:45;12.174,75;12.356,50;181,75;8.043,75
01.01.2015 12:45;01.01.2015 13:00;12.093,75;12.394,00;300,25;7.992,75
01.01.2015 13:00;01.01.2015 13:15;12.000,00;12.185,75;185,75;7.928,75
01.01.2015 13:15;01.01.2015 13:30;11.888,25;12.101,75;213,50;7.810,25
