Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.04.2018 00:00;01.04.2018 00:15;11.411,75;11.542,00;130,25;9.258,25
01.04.2018 00:15;01.04.2018 00:30;11.242,00;11.369,75;127,75;9.029,75
01.04.2018 00:30;01.04.2018 00:45;11.162,50;11.311,25;148,75;8.895,25
01.04.2018 00:45;01.04.2018 01:00;11.042,25;11.236,50;194,25;8.753,50
01.04.2018 01:00;01.04.2018 01:15;10.903,75;11.101,25;197,50;8.582,25
01.04.2018 01:15;01.04.2018 01:30;10.761,50;11.060,50;299,00;8.366,00
01.04.2018 01:30;01.04.2018 01:45;10.656,75;11.065,00;408,25;8.200,50
01.04.2018 01:45;01.04.2018 02:00;10.554,50;11.099,25;544,75;8.024,50
01.04.2018 02:00;01.04.2018 02:15;10.450,25;10.904,75;454,50;7.885,50
01.04.2018 02:15;01.04.2018 02:30;10.427,00;10.924,00;497,00;7.771,75
01.04.2018 02:30;01.04.2018 02:45;10.396,00;10.952,00;556,00;7.653,25
01.04.2018 02:45;01.04.2018 03:00;10.357,25;10.957,25;600,00;7.506,00
01.04.2018 03:00;01.04.2018 03:15;10.328,00;10.802,75;474,75;7.425,00
01.04.2018 03:15;01.04.2018 03:30;10.359,00;10.873,00;514,00;7.412,50
01.04.2018 03:30;01.04.2018 03:45;10.360,50;10.898,50;538,00;7.389,75
01.04.2018 03:45;01.04.2018 04:00;10.432,50;11.002,50;570,00;7.384,25
01.04.2018 04:00;01.04.2018 04:15;10.468,75;11.195,25;726,50;7.350,25
01.04.2018 04:15;01.04.2018 04:30;10.500,50;11.277,25;776,75;7.295,75
01.04.2018 04:30;01.04.2018 04:45;10.482,25;11.265,50;783,25;7.203,00
01.04.2018 04:45;01.04.2018 05:00;10.485,50;11.316,25;830,75;7.169,25
01.04.2018 05:00;01.04.2018 05:15;10.531,25;11.489,00;957,75;7.151,75
01.04.2018 05:15;01.04.2018 05:30;10.521,50;11.590,00;1.068,50;7.037,25
01.04.2018 05:30;01.04.2018 05:45;10.487,50;11.625,75;1.138,25;6.951,50
01.04.2018 05:45;01.04.2018 06:00;10.508,50;11.650,75;1.142,25;6.923,25
01.04.2018 06:00;01.04.2018 06:15;10.469,25;11.403,75;934,50;6.845,25
01.04.2018 06:15;01.04.2018 06:30;10.462,50;11.406,00;943,50;6.838,75
01.04.2018 06:30;01.04.2018 06:45;10.524,00;11.450,25;926,25;6.897,25
01.04.2018 06:45;01.04.2018 07:00;10.498,25;11.459,75;961,50;6.836,50
01.04.2018 07:00;01.04.2018 07:15;10.526,50;11.232,50;706,00;6.833,25
01.04.2018 07:15;01.04.2018 07:30;10.649,75;11.266,50;616,75;6.958,25
01.04.2018 07:30;01.04.2018 07:45;10.881,75;11.355,75;474,00;7.150,00
01.04.2018 07:45;01.04.2018 08:00;11.093,25;11.531,00;437,75;7.277,50
01.04.2018 08:00;01.04.2018 08:15;11.399,25;11.654,00;254,75;7.469,75
01.04.2018 08:15;01.04.2018 08:30;11.660,00;11.886,00;226,00;7.622,25
01.04.2018 08:30;01.04.2018 08:45;11.959,25;12.163,25;204,00;7.814,00
01.04.2018 08:45;01.04.2018 09:00;12.114,25;12.300,25;186,00;7.842,00
01.04.2018 09:00;01.04.2018 09:15;12.355,00;12.499,00;144,00;7.968,25
01.04.2018 09:15;01.04.2018 09:30;12.555,25;12.705,75;150,50;8.066,75
01.04.2018 09:30;01.04.2018 09:45;12.688,25;12.821,50;133,25;8.086,25
01.04.2018 09:45;01.04.2018 10:00;12.773,25;12.859,75;86,50;8.033,25
01.04.2018 10:00;01.04.2018 10:15;12.881,50;12.997,50;116,00;7.957,75
01.04.2018 10:15;01.04.2018 10:30;12.987,00;13.208,50;221,50;7.877,00
01.04.2018 10:30;01.04.2018 10:45;13.083,25;13.263,50;180,25;7.764,75
01.04.2018 10:45;01.04.2018 11:00;13.231,00;13.465,00;234,00;7.739,50
01.04.2018 11:00;01.04.2018 11:15;13.315,50;13.696,25;380,75;7.691,00
01.04.2018 11:15;01.04.2018 11:30;13.513,00;13.807,00;294,00;7.765,50
01.04.2018 11:30;01.04.2018 11:45;13.536,75;13.840,00;303,25;7.642,00
01.04.2018 11:45;01.04.2018 12:00;13.501,75;13.972,25;470,50;7.449,75
01.04.2018 12:00;01.04.2018 12:15;13.348,00;14.147,00;799,00;7.135,25
01.04.2018 12:15;01.04.2018 12:30;13.264,75;14.190,00;925,25;6.926,50
01.04.2018 12:30;01.04.2018 12:45;13.168,25;14.340,25;1.172,00;6.593,00
01.04.2018 12:45;01.04.2018 13:00;13.037,75;14.401,25;1.363,50;6.359,75
01.04.2018 13:00;01.04.2018 13:15;12.856,00;13.874,25;1.018,25;6.134,50
01.04.2018 13:15;01.04.2018 13:30;12.700,50;13.789,75;1.089,25;5.857,25
01.04.2018 13:30;01.04.2018 13:45;12.604,00;13.775,50;1.171,50;5.686,50
01.04.2018 13:45;01.04.2018 14:00;12.492,50;13.781,50;1.289,00;5.531,50
01.04.2018 14:00;01.04.2018 14:15;12.435,25;13.790,25;1.355,00;5.259,50
01.04.2018 14:15;01.04.2018 14:30;12.341,00;13.688,50;1.347,50;5.094,25
01.04.2018 14:30;01.04.2018 14:45;12.293,00;13.704,75;1.411,75;4.988,00
01.04.2018 14:45;01.04.2018 15:00;12.240,75;13.582,00;1.341,25;4.822,25
01.04.2018 15:00;01.04.2018 15:15;12.288,75;13.583,50;1.294,75;4.743,25
01.04.2018 15:15;01.04.2018 15:30;12.121,50;13.307,75;1.186,25;4.646,25
01.04.2018 15:30;01.04.2018 15:45;12.027,00;13.236,75;1.209,75;4.637,25
01.04.2018 15:45;01.04.2018 16:00;11.923,00;13.207,50;1.284,50;4.516,00
01.04.2018 16:00;01.04.2018 16:15;11.950,00;13.394,75;1.444,75;4.496,75
01.04.2018 16:15;01.04.2018 16:30;11.877,25;13.311,50;1.434,25;4.550,00
01.04.2018 16:30;01.04.2018 16:45;11.926,25;13.240,75;1.314,50;4.741,25
01.04.2018 16:45;01.04.2018 17:00;12.017,25;13.124,25;1.107,00;5.118,00
01.04.2018 17:00;01.04.2018 17:15;12.073,50;13.358,50;1.285,00;5.420,50
01.04.2018 17:15;01.04.2018 17:30;12.175,75;13.395,00;1.219,25;5.809,75
01.04.2018 17:30;01.04.2018 17:45;12.206,00;13.324,25;1.118,25;5.956,50
01.04.2018 17:45;01.04.2018 18:00;12.292,50;13.122,50;830,00;6.260,75
01.04.2018 18:00;01.04.2018 18:15;12.459,50;13.173,75;714,25;6.726,25
01.04.2018 18:15;01.04.2018 18:30;12.503,50;13.222,00;718,50;7.046,50
01.04.2018 18:30;01.04.2018 18:45;12.535,50;13.203,25;667,75;7.348,75
01.04.2018 18:45;01.04.2018 19:00;12.552,50;13.041,75;489,25;7.708,50
01.04.2018 19:00;01.04.2018 19:15;12.647,50;13.166,00;518,50;8.135,25
01.04.2018 19:15;01.04.2018 19:30;12.608,25;13.064,50;456,25;8.367,50
01.04.2018 19:30;01.04.2018 19:45;12.591,50;12.906,75;315,25;8.503,50
01.04.2018 19:45;01.04.2018 20:00;12.660,00;12.870,50;210,50;8.672,25
01.04.2018 20:00;01.04.2018 20:15;12.847,75;12.995,75;148,00;8.975,75
01.04.2018 20:15;01.04.2018 20:30;12.849,00;12.989,75;140,75;9.038,00
01.04.2018 20:30;01.04.2018 20:45;12.781,25;12.959,25;178,00;9.060,50
01.04.2018 20:45;01.04.2018 21:00;12.623,00;12.827,50;204,50;8.971,25
01.04.2018 21:00;01.04.2018 21:15;12.660,00;12.819,00;159,00;9.061,50
01.04.2018 21:15;01.04.2018 21:30;12.537,00;12.745,50;208,50;8.945,50
01.04.2018 21:30;01.04.2018 21:45;12.507,00;12.762,00;255,00;8.987,00
01.04.2018 21:45;01.04.2018 22:00;12.495,50;12.806,75;311,25;9.051,75
01.04.2018 22:00;01.04.2018 22:15;12.662,50;12.786,50;124,00;9.256,75
01.04.2018 22:15;01.04.2018 22:30;12.530,25;12.706,50;176,25;9.144,50
01.04.2018 22:30;01.04.2018 22:45;12.380,00;12.571,50;191,50;8.979,50
01.04.2018 22:45;01.04.2018 23:00;12.226,25;12.550,00;323,75;8.797,50
01.04.2018 23:00;01.04.2018 23:15;12.007,75;12.115,25;107,50;8.580,25
01.04.2018 23:15;01.04.2018 23:30;11.791,75;11.948,00;156,25;8.394,00
01.04.2018 23:30;01.04.2018 23:45;11.621,75;11.783,50;161,75;8.300,00
01.04.2018 23:45;02.04.2018 00:00;11.470,75;11.706,75;236,00;8.204,25
02.04.2018 00:00;02.04.2018 00:15;11.270,00;11.445,75;175,75;8.056,25
02.04.2018 00:15;02.04.2018 00:30;11.132,00;11.362,00;230,00;7.943,25
02.04.2018 00:30;02.04.2018 00:45;10.994,00;11.320,00;326,00;7.814,25
02.04.2018 00:45;02.04.2018 01:00;10.894,50;11.276,75;382,25;7.742,75
02.04.2018 01:00;02.04.2018 01:15;10.798,50;11.006,50;208,00;7.696,50
02.04.2018 01:15;02.04.2018 01:30;10.674,00;10.945,50;271,50;7.638,00
02.04.2018 01:30;02.04.2018 01:45;10.601,00;10.896,75;295,75;7.614,00
02.04.2018 01:45;02.04.2018 02:00;10.561,00;10.869,25;308,25;7.608,25
02.04.2018 02:00;02.04.2018 02:15;10.507,25;10.882,50;375,25;7.581,00
02.04.2018 02:15;02.04.2018 02:30;10.483,75;10.885,50;401,75;7.618,50
02.04.2018 02:30;02.04.2018 02:45;10.451,75;10.829,00;377,25;7.601,75
02.04.2018 02:45;02.04.2018 03:00;10.440,50;10.875,00;434,50;7.644,50
02.04.2018 03:00;02.04.2018 03:15;10.495,75;11.024,75;529,00;7.788,00
02.04.2018 03:15;02.04.2018 03:30;10.462,25;10.879,50;417,25;7.892,50
02.04.2018 03:30;02.04.2018 03:45;10.472,50;10.892,75;420,25;8.014,75
02.04.2018 03:45;02.04.2018 04:00;10.494,25;10.881,25;387,00;8.143,00
02.04.2018 04:00;02.04.2018 04:15;10.562,50;11.087,50;525,00;8.291,25
02.04.2018 04:15;02.04.2018 04:30;10.536,50;11.087,00;550,50;8.316,50
02.04.2018 04:30;02.04.2018 04:45;10.631,75;11.096,00;464,25;8.486,00
02.04.2018 04:45;02.04.2018 05:00;10.621,50;11.031,25;409,75;8.539,00
02.04.2018 05:00;02.04.2018 05:15;10.715,00;11.038,00;323,00;8.707,25
02.04.2018 05:15;02.04.2018 05:30;10.648,75;10.993,75;345,00;8.687,75
02.04.2018 05:30;02.04.2018 05:45;10.697,25;11.047,75;350,50;8.775,00
02.04.2018 05:45;02.04.2018 06:00;10.684,50;11.078,00;393,50;8.808,75
02.04.2018 06:00;02.04.2018 06:15;10.603,00;10.765,50;162,50;8.760,75
02.04.2018 06:15;02.04.2018 06:30;10.572,00;10.728,00;156,00;8.764,50
02.04.2018 06:30;02.04.2018 06:45;10.599,00;10.718,50;119,50;8.841,00
02.04.2018 06:45;02.04.2018 07:00;10.491,50;10.592,50;101,00;8.790,00
02.04.2018 07:00;02.04.2018 07:15;10.615,00;10.707,75;92,75;8.937,00
02.04.2018 07:15;02.04.2018 07:30;10.675,25;10.861,75;186,50;8.994,50
02.04.2018 07:30;02.04.2018 07:45;10.809,75;10.980,50;170,75;9.036,25
02.04.2018 07:45;02.04.2018 08:00;10.967,25;11.113,00;145,75;9.060,50
02.04.2018 08:00;02.04.2018 08:15;11.181,50;11.297,00;115,50;9.129,50
02.04.2018 08:15;02.04.2018 08:30;11.354,50;11.461,00;106,50;9.122,75
02.04.2018 08:30;02.04.2018 08:45;11.567,00;11.645,75;78,75;9.118,25
02.04.2018 08:45;02.04.2018 09:00;11.796,25;11.882,50;86,25;9.153,25
02.04.2018 09:00;02.04.2018 09:15;12.039,75;12.157,50;117,75;9.162,25
02.04.2018 09:15;02.04.2018 09:30;12.220,25;12.352,50;132,25;9.044,25
02.04.2018 09:30;02.04.2018 09:45;12.437,50;12.618,00;180,50;8.955,75
02.04.2018 09:45;02.04.2018 10:00;12.599,00;12.881,00;282,00;8.814,25
02.04.2018 10:00;02.04.2018 10:15;12.635,25;12.732,50;97,25;8.599,00
02.04.2018 10:15;02.04.2018 10:30;12.695,75;12.956,25;260,50;8.310,00
02.04.2018 10:30;02.04.2018 10:45;12.754,75;13.231,50;476,75;8.087,50
02.04.2018 10:45;02.04.2018 11:00;12.830,00;13.431,50;601,50;7.897,00
02.04.2018 11:00;02.04.2018 11:15;12.917,00;13.401,00;484,00;7.699,25
02.04.2018 11:15;02.04.2018 11:30;13.060,25;13.542,75;482,50;7.580,00
02.04.2018 11:30;02.04.2018 11:45;13.192,25;13.772,25;580,00;7.428,00
02.04.2018 11:45;02.04.2018 12:00;13.150,75;13.844,00;693,25;7.225,50
02.04.2018 12:00;02.04.2018 12:15;13.052,75;13.851,50;798,75;6.947,50
02.04.2018 12:15;02.04.2018 12:30;12.956,25;13.692,00;735,75;6.645,50
02.04.2018 12:30;02.04.2018 12:45;12.904,75;13.761,50;856,75;6.541,50
02.04.2018 12:45;02.04.2018 13:00;12.752,75;13.655,25;902,50;6.290,00
02.04.2018 13:00;02.04.2018 13:15;12.520,25;13.335,75;815,50;5.971,00
02.04.2018 13:15;02.04.2018 13:30;12.413,00;13.362,75;949,75;5.836,25
02.04.2018 13:30;02.04.2018 13:45;12.286,00;13.339,75;1.053,75;5.768,50
02.04.2018 13:45;02.04.2018 14:00;12.206,00;13.326,75;1.120,75;5.636,50
02.04.2018 14:00;02.04.2018 14:15;12.102,75;13.452,25;1.349,50;5.577,75
02.04.2018 14:15;02.04.2018 14:30;11.994,25;13.372,75;1.378,50;5.502,75
02.04.2018 14:30;02.04.2018 14:45;11.894,75;13.315,00;1.420,25;5.506,50
02.04.2018 14:45;02.04.2018 15:00;11.819,25;13.183,75;1.364,50;5.490,50
02.04.2018 15:00;02.04.2018 15:15;11.836,25;13.156,25;1.320,00;5.625,50
02.04.2018 15:15;02.04.2018 15:30;11.805,25;13.002,75;1.197,50;5.764,50
02.04.2018 15:30;02.04.2018 15:45;11.731,00;12.906,25;1.175,25;5.854,50
02.04.2018 15:45;02.04.2018 16:00;11.666,50;12.748,75;1.082,25;5.997,75
02.04.2018 16:00;02.04.2018 16:15;11.692,25;12.753,50;1.061,25;6.289,00
02.04.2018 16:15;02.04.2018 16:30;11.597,00;12.644,00;1.047,00;6.470,25
02.04.2018 16:30;02.04.2018 16:45;11.606,50;12.558,00;951,50;6.743,75
