Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (DE-AT-LU)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2017-01-01T00:00+01:00,6432.99191,25961.92727,22506.70864,20.96
2017-01-01T01:00+01:00,6432.17003,26481.26593,22513.83164,20.9
2017-01-01T02:00+01:00,6433.069117,26515.9785,22249.37871,18.13
2017-01-01T03:00+01:00,6469.289135,26818.90895,21925.52892,16.03
2017-01-01T04:00+01:00,6487.221069,26355.37515,22051.02662,16.43
2017-01-01T05:00+01:00,6490.685419,26231.16267,22269.97859,13.75
2017-01-01T06:00+01:00,6488.994338,25643.76106,22612.94222,11.1
2017-01-01T07:00+01:00,6489.753955,25456.34502,22564.59071,15.47
2017-01-01T08:00+01:00,6490.371611,25340.05591,22930.96724,16.88
2017-01-01T09:00+01:00,6488.77517,25332.67862,24537.85829,21.81
2017-01-01T10:00+01:00,6481.029571,25669.3285,25718.57006,26.24
2017-01-01T11:00+01:00,6468.532008,26410.84116,26611.82322,26.42
2017-01-01T12:00+01:00,6476.932622,26583.76184,26622.54179,27.66
2017-01-01T13:00+01:00,6481.761791,26706.78736,24771.57377,28.7
2017-01-01T14:00+01:00,6485.422895,27137.03039,21223.87508,29.66
2017-01-01T15:00+01:00,6484.932257,28249.66699,17596.90457,35.33
2017-01-01T16:00+01:00,6478.638646,29236.8651,16201.46728,44.12
2017-01-01T17:00+01:00,6473.660044,29746.91177,16641.67999,51.59
2017-01-01T18:00+01:00,6474.170606,30135.83279,16970.77009,53.95
2017-01-01T19:00+01:00,6472.666316,30430.35341,17305.43261,50.97
2017-01-01T20:00+01:00,6473.176878,30979.09452,18169.4851,44.93
2017-01-01T21:00+01:00,6465.984179,31051.81688,18682.96361,38.83
2017-01-01T22:00+01:00,6456.82893,30882.10702,19384.35007,42.17
2017-01-01T23:00+01:00,6455.023284,29890.30131,19273.64093,33.06
2017-01-02T00:00+01:00,6441.419919,27657.52318,19457.80694,30.54
