Day,Day Ahead Auction (volume weighted) (DE-AT-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2017,28.6991
02.01.2017,46.8128
03.01.2017,38.4441
04.01.2017,25.9208
05.01.2017,49.9202
06.01.2017,50.2702
07.01.2017,38.4853
08.01.2017,42.6815
09.01.2017,55.6595
10.01.2017,53.9743
11.01.2017,35.7278
12.01.2017,33.971
13.01.2017,40.1183
14.01.2017,33.4354
15.01.2017,35.3207
16.01.2017,79.0292
17.01.2017,83.7437
18.01.2017,69.4133
19.01.2017,66.7345
20.01.2017,62.5218
21.01.2017,48.1543
22.01.2017,41.2532
23.01.2017,75.1898
24.01.2017,103.4028
25.01.2017,86.0724
26.01.2017,49.2296
27.01.2017,44.1081
28.01.2017,42.5508
29.01.2017,37.7206
30.01.2017,52.3458
31.01.2017,68.9426
01.02.2017,51.5101
02.02.2017,45.3353
03.02.2017,48.5278
04.02.2017,45.4606
05.02.2017,43.2339
06.02.2017,62.1672
07.02.2017,54.0869
08.02.2017,60.3005
09.02.2017,58.1688
10.02.2017,45.8437
11.02.2017,38.637
12.02.2017,33.082
13.02.2017,42.4195
14.02.2017,42.7739
15.02.2017,47.5056
16.02.2017,40.7607
17.02.2017,43.3803
18.02.2017,40.3353
19.02.2017,28.4967
20.02.2017,31.483
21.02.2017,32.5408
22.02.2017,24.6992
23.02.2017,25.1582
24.02.2017,26.8687
25.02.2017,29.4834
26.02.2017,13.2725
27.02.2017,29.282
28.02.2017,29.5038
01.03.2017,35.657
02.03.2017,26.6584
03.03.2017,38.5556
04.03.2017,34.0704
05.03.2017,16.7455
06.03.2017,39.3151
07.03.2017,44.8246
08.03.2017,36.6224
09.03.2017,38.8304
10.03.2017,33.1237
11.03.2017,32.9342
12.03.2017,17.9531
13.03.2017,36.497
14.03.2017,34.9084
15.03.2017,33.6842
16.03.2017,34.253
17.03.2017,28.5523
18.03.2017,19.088
19.03.2017,13.5574
20.03.2017,29.2921
21.03.2017,30.3408
22.03.2017,35.7177
23.03.2017,34.2627
24.03.2017,34.4913
25.03.2017,27.7846
26.03.2017,27.277
27.03.2017,34.9922
28.03.2017,34.8748
29.03.2017,30.9926
30.03.2017,33.9085
31.03.2017,31.6719
01.04.2017,29.9056
02.04.2017,29.2295
03.04.2017,37.9892
04.04.2017,38.9647
05.04.2017,32.991
06.04.2017,30.1116
07.04.2017,34.064
08.04.2017,33.9948
09.04.2017,27.0314
10.04.2017,26.8237
11.04.2017,33.4705
12.04.2017,27.5539
13.04.2017,28.9346
14.04.2017,29.9207
15.04.2017,13.1683
16.04.2017,17.651
17.04.2017,24.5933
18.04.2017,34.3987
19.04.2017,37.1594
20.04.2017,37.1193
21.04.2017,27.3641
22.04.2017,11.9302
23.04.2017,8.8995
24.04.2017,29.4024
25.04.2017,36.3322
26.04.2017,40.3892
27.04.2017,36.9562
28.04.2017,36.9759
29.04.2017,29.6664
30.04.2017,-12.882
01.05.2017,-28.9212
02.05.2017,28.9722
03.05.2017,34.6113
04.05.2017,33.0123
05.05.2017,38.1924
06.05.2017,32.5596
07.05.2017,27.9969
08.05.2017,34.0734
09.05.2017,40.1069
10.05.2017,38.7567
11.05.2017,34.3205
12.05.2017,35.501
13.05.2017,31.6342
14.05.2017,27.4681
15.05.2017,36.7459
16.05.2017,34.4374
17.05.2017,32.5618
18.05.2017,32.7798
19.05.2017,34.9681
20.05.2017,26.0765
21.05.2017,17.7172
22.05.2017,36.5321
23.05.2017,33.6443
24.05.2017,32.1681
25.05.2017,27.0803
26.05.2017,32.4799
27.05.2017,25.9272
28.05.2017,19.058
29.05.2017,37.5358
30.05.2017,37.2216
31.05.2017,32.8154
01.06.2017,36.0765
02.06.2017,36.7101
03.06.2017,30.2526
04.06.2017,21.6195
05.06.2017,27.4339
06.06.2017,21.8388
07.06.2017,13.0388
08.06.2017,28.7462
09.06.2017,33.8074
10.06.2017,30.6067
11.06.2017,19.7303
12.06.2017,23.7849
13.06.2017,32.3683
14.06.2017,37.7282
15.06.2017,31.9669
16.06.2017,18.8342
17.06.2017,23.8383
18.06.2017,28.1756
19.06.2017,38.2722
20.06.2017,35.558
21.06.2017,39.4627
22.06.2017,35.6056
23.06.2017,29.5529
24.06.2017,20.7574
25.06.2017,17.2289
26.06.2017,32.463
27.06.2017,39.8158
28.06.2017,35.8683
29.06.2017,38.7795
30.06.2017,31.7555
01.07.2017,28.4746
02.07.2017,23.4913
03.07.2017,32.2945
04.07.2017,34.6576
05.07.2017,39.3122
06.07.2017,39.6874
07.07.2017,37.6052
08.07.2017,34.1002
09.07.2017,32.8834
10.07.2017,41.1152
11.07.2017,36.9347
12.07.2017,35.146
13.07.2017,33.5171
14.07.2017,36.9701
15.07.2017,32.362
16.07.2017,30.1133
17.07.2017,38.012
18.07.2017,37.9463
19.07.2017,36.1295
20.07.2017,37.7935
21.07.2017,36.203
22.07.2017,33.2242
23.07.2017,28.2914
24.07.2017,39.9469
25.07.2017,34.6431
26.07.2017,32.8191
27.07.2017,34.1856
28.07.2017,30.9742
29.07.2017,18.8983
30.07.2017,-0.6918
31.07.2017,32.1776
01.08.2017,35.1537
02.08.2017,33.2246
03.08.2017,27.9481
04.08.2017,23.453
05.08.2017,27.6747
06.08.2017,18.5976
07.08.2017,33.1683
08.08.2017,31.6401
09.08.2017,30.0803
10.08.2017,36.0189
11.08.2017,38.6395
12.08.2017,21.6025
13.08.2017,19.509
14.08.2017,33.3953
15.08.2017,26.3572
16.08.2017,36.2506
17.08.2017,33.665
18.08.2017,33.7996
19.08.2017,13.948
20.08.2017,7.9053
21.08.2017,29.378
22.08.2017,37.4123
23.08.2017,36.9041
24.08.2017,35.6287
25.08.2017,37.911
26.08.2017,34.223
27.08.2017,29.774
28.08.2017,38.649
29.08.2017,37.3766
30.08.2017,36.3638
31.08.2017,38.9732
01.09.2017,39.3919
02.09.2017,33.9934
03.09.2017,30.664
04.09.2017,36.6329
05.09.2017,38.2674
06.09.2017,31.9149
07.09.2017,33.7641
08.09.2017,26.9289
09.09.2017,31.9752
10.09.2017,22.4942
11.09.2017,21.4369
12.09.2017,29.5768
13.09.2017,13.4201
14.09.2017,23.0841
15.09.2017,34.8726
16.09.2017,37.1709
17.09.2017,33.4726
18.09.2017,42.4976
19.09.2017,41.9386
20.09.2017,39.3163
21.09.2017,39.3302
22.09.2017,40.5587
23.09.2017,36.2398
24.09.2017,35.1231
25.09.2017,43.0651
26.09.2017,40.643
27.09.2017,40.9902
28.09.2017,40.6913
29.09.2017,40.3279
30.09.2017,35.9026
01.10.2017,29.9441
02.10.2017,18.522
03.10.2017,24.3425
04.10.2017,28.5014
05.10.2017,17.9695
06.10.2017,27.4348
07.10.2017,7.117
08.10.2017,22.7662
09.10.2017,43.3967
10.10.2017,37.8349
11.10.2017,34.6511
12.10.2017,24.4955
13.10.2017,40.0778
14.10.2017,30.896
15.10.2017,30.2994
16.10.2017,38.5489
17.10.2017,37.1963
18.10.2017,53.4343
19.10.2017,47.1977
20.10.2017,38.2143
21.10.2017,34.302
22.10.2017,21.1723
23.10.2017,42.0206
24.10.2017,38.4401
25.10.2017,34.1249
26.10.2017,40.794
27.10.2017,30.6855
28.10.2017,-9.973
29.10.2017,-54.2527
30.10.2017,31.9289
31.10.2017,37.3845
01.11.2017,30.8423
02.11.2017,34.0819
03.11.2017,51.2591
04.11.2017,34.3232
05.11.2017,30.0154
06.11.2017,51.7815
07.11.2017,53.1823
08.11.2017,68.6088
09.11.2017,51.9172
10.11.2017,31.8604
11.11.2017,22.3528
12.11.2017,32.5573
13.11.2017,45.9631
14.11.2017,40.1344
15.11.2017,64.7725
16.11.2017,47.8681
17.11.2017,43.301
18.11.2017,19.7118
19.11.2017,9.7265
20.11.2017,39.0338
21.11.2017,49.9208
22.11.2017,31.3988
23.11.2017,22.7109
24.11.2017,42.6425
25.11.2017,40.1891
26.11.2017,19.0041
27.11.2017,29.3825
28.11.2017,37.5798
29.11.2017,72.4353
30.11.2017,67.987
01.12.2017,61.6574
02.12.2017,40.4211
03.12.2017,33.4467
04.12.2017,34.9534
05.12.2017,36.123
06.12.2017,31.2462
07.12.2017,34.3574
08.12.2017,30.2709
09.12.2017,15.886
10.12.2017,17.3473
11.12.2017,40.415
12.12.2017,33.8758
13.12.2017,26.9691
14.12.2017,31.0294
15.12.2017,47.0875
16.12.2017,37.9319
17.12.2017,35.152
18.12.2017,55.1588
19.12.2017,61.2544
20.12.2017,61.6725
21.12.2017,43.323
22.12.2017,39.2892
23.12.2017,11.007
24.12.2017,-12.1611
25.12.2017,5.8851
26.12.2017,-6.1199
27.12.2017,35.7534
28.12.2017,32.7327
29.12.2017,20.8364
30.12.2017,12.7617
31.12.2017,2.6137
