Day,Day Ahead Auction (volume weighted) (DE-AT-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2013,17.3393
02.01.2013,38.7081
03.01.2013,34.2476
04.01.2013,32.7925
05.01.2013,32.021
06.01.2013,28.8542
07.01.2013,53.475
08.01.2013,53.5847
09.01.2013,53.3023
10.01.2013,50.2355
11.01.2013,53.5345
12.01.2013,44.5435
13.01.2013,38.7972
14.01.2013,53.2507
15.01.2013,56.5975
16.01.2013,55.9072
17.01.2013,54.225
18.01.2013,51.538
19.01.2013,39.3925
20.01.2013,34.6621
21.01.2013,48.7253
22.01.2013,54.8565
23.01.2013,60.6374
24.01.2013,59.7816
25.01.2013,52.7808
26.01.2013,36.8738
27.01.2013,31.026
28.01.2013,45.9907
29.01.2013,32.6287
30.01.2013,30.2714
31.01.2013,26.6521
01.02.2013,34.9562
02.02.2013,35.7584
03.02.2013,28.9329
04.02.2013,32.5395
05.02.2013,32.8006
06.02.2013,47.9197
07.02.2013,51.8283
08.02.2013,50.0334
09.02.2013,40.84
10.02.2013,35.0091
11.02.2013,41.3153
12.02.2013,49.9409
13.02.2013,53.3962
14.02.2013,47.3379
15.02.2013,51.6394
16.02.2013,41.5196
17.02.2013,38.5053
18.02.2013,54.3353
19.02.2013,49.8785
20.02.2013,47.0883
21.02.2013,53.4959
22.02.2013,48.5036
23.02.2013,37.3612
24.02.2013,33.8168
25.02.2013,53.5932
26.02.2013,56.3334
27.02.2013,60.7038
28.02.2013,54.6921
01.03.2013,52.0353
02.03.2013,42.5255
03.03.2013,38.5827
04.03.2013,49.1798
05.03.2013,41.3072
06.03.2013,49.1368
07.03.2013,42.2304
08.03.2013,36.8171
09.03.2013,30.817
10.03.2013,18.5633
11.03.2013,38.9962
12.03.2013,47.2548
13.03.2013,56.1753
14.03.2013,53.9833
15.03.2013,44.8631
16.03.2013,26.4951
17.03.2013,10.6138
18.03.2013,36.914
19.03.2013,44.1392
20.03.2013,51.0272
21.03.2013,56.4102
22.03.2013,38.7487
23.03.2013,21.3116
24.03.2013,11.2576
25.03.2013,34.1206
26.03.2013,38.1792
27.03.2013,47.1608
28.03.2013,48.44
29.03.2013,38.5412
30.03.2013,38.9038
31.03.2013,32.4785
01.04.2013,23.503
02.04.2013,48.7998
03.04.2013,39.6694
04.04.2013,48.384
05.04.2013,54.1186
06.04.2013,41.4913
07.04.2013,40.0407
08.04.2013,58.6445
09.04.2013,57.151
10.04.2013,57.4685
11.04.2013,55.6739
12.04.2013,43.9951
13.04.2013,26.7869
14.04.2013,15.1106
15.04.2013,39.5938
16.04.2013,44.064
17.04.2013,38.5472
18.04.2013,26.9107
19.04.2013,32.3369
20.04.2013,28.2787
21.04.2013,15.4085
22.04.2013,42.2568
23.04.2013,32.7642
24.04.2013,38.0094
25.04.2013,32.5561
26.04.2013,34.7707
27.04.2013,26.2524
28.04.2013,22.8676
29.04.2013,36.1295
30.04.2013,37.3198
01.05.2013,12.9186
02.05.2013,34.1054
03.05.2013,35.2588
04.05.2013,30.3089
05.05.2013,17.3003
06.05.2013,40.8468
07.05.2013,36.4892
08.05.2013,33.1434
09.05.2013,23.3799
10.05.2013,31.8853
11.05.2013,19.1458
12.05.2013,10.7052
13.05.2013,35.1926
14.05.2013,35.6181
15.05.2013,32.9195
16.05.2013,36.6204
17.05.2013,37.3181
18.05.2013,22.8989
19.05.2013,13.5397
20.05.2013,28.3884
21.05.2013,44.0745
22.05.2013,35.0432
23.05.2013,46.6037
24.05.2013,48.4104
25.05.2013,32.4806
26.05.2013,21.0179
27.05.2013,44.8919
28.05.2013,42.6667
29.05.2013,51.1199
30.05.2013,36.9369
31.05.2013,32.5756
01.06.2013,29.4985
02.06.2013,8.6141
03.06.2013,32.2135
04.06.2013,39.5865
05.06.2013,37.6299
06.06.2013,35.7372
07.06.2013,34.3164
08.06.2013,25.827
09.06.2013,13.9951
10.06.2013,31.8196
11.06.2013,32.5597
12.06.2013,31.4998
13.06.2013,30.2399
14.06.2013,29.3722
15.06.2013,14.1857
16.06.2013,-7.7438
17.06.2013,37.9219
18.06.2013,34.1421
19.06.2013,35.4062
20.06.2013,39.1844
21.06.2013,30.9097
22.06.2013,15.9283
23.06.2013,11.0176
24.06.2013,34.9263
25.06.2013,35.1773
26.06.2013,30.3919
27.06.2013,39.3079
28.06.2013,34.659
29.06.2013,27.8698
30.06.2013,15.5319
01.07.2013,32.2443
02.07.2013,38.1081
03.07.2013,41.8393
04.07.2013,42.3613
05.07.2013,35.057
06.07.2013,25.8236
07.07.2013,17.702
08.07.2013,33.6419
09.07.2013,37.7086
10.07.2013,33.7437
11.07.2013,37.8918
12.07.2013,35.4869
13.07.2013,32.0218
14.07.2013,19.3167
15.07.2013,38.663
16.07.2013,42.3063
17.07.2013,48.1173
18.07.2013,44.9036
19.07.2013,37.3641
20.07.2013,31.0682
21.07.2013,24.7133
22.07.2013,43.3277
23.07.2013,48.1897
24.07.2013,52.4166
25.07.2013,51.9885
26.07.2013,43.7709
27.07.2013,32.8021
28.07.2013,21.7837
29.07.2013,46.6425
30.07.2013,37.4201
31.07.2013,34.1169
01.08.2013,40.4754
02.08.2013,36.7855
03.08.2013,30.8944
04.08.2013,30.0573
05.08.2013,44.8145
06.08.2013,37.4819
07.08.2013,40.3967
08.08.2013,38.3909
09.08.2013,40.4816
10.08.2013,28.5669
11.08.2013,17.4742
12.08.2013,37.4635
13.08.2013,36.8796
14.08.2013,32.806
15.08.2013,32.2887
16.08.2013,36.5794
17.08.2013,31.8745
18.08.2013,22.8081
19.08.2013,59.3045
20.08.2013,44.3229
21.08.2013,44.9264
22.08.2013,48.1656
23.08.2013,46.8349
24.08.2013,30.345
25.08.2013,26.0938
26.08.2013,45.1125
27.08.2013,50.9913
28.08.2013,53.5169
29.08.2013,53.9555
30.08.2013,45.9538
31.08.2013,32.5785
01.09.2013,27.0462
02.09.2013,33.1471
03.09.2013,49.4118
04.09.2013,54.1569
05.09.2013,46.4726
06.09.2013,39.1086
07.09.2013,37.0877
08.09.2013,29.9063
09.09.2013,48.3215
10.09.2013,49.0373
11.09.2013,48.638
12.09.2013,51.0931
13.09.2013,49.6644
14.09.2013,35.5208
15.09.2013,27.1959
16.09.2013,41.8154
17.09.2013,36.3528
18.09.2013,47.8179
19.09.2013,48.077
20.09.2013,50.7856
21.09.2013,36.2414
22.09.2013,25.9675
23.09.2013,40.0982
