Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (DE-AT-LU)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2015-01-01T00:00+01:00,11350.28732,24956.93026,15918.87453,
2015-01-01T01:00+01:00,11748.27237,22429.28772,16083.49162,
2015-01-01T02:00+01:00,11684.55333,21577.30713,16229.3711,
2015-01-01T03:00+01:00,11686.40786,20967.88566,16196.84107,
2015-01-01T04:00+01:00,11617.0007,21198.56635,16274.38048,
2015-01-01T05:00+01:00,11334.68807,20237.08974,16595.67082,
2015-01-01T06:00+01:00,10914.72683,19388.22462,17100.69605,
2015-01-01T07:00+01:00,10634.65287,19261.53363,17597.21188,
2015-01-01T08:00+01:00,10857.64436,19698.53432,17606.51174,
2015-01-01T09:00+01:00,10661.22036,19927.34833,18405.49988,
2015-01-01T10:00+01:00,10684.50267,20087.70664,20106.54923,
2015-01-01T11:00+01:00,10543.32781,19942.03725,22043.57539,
2015-01-01T12:00+01:00,10723.58824,20348.23183,23242.06208,
2015-01-01T13:00+01:00,11077.54937,20144.97266,23016.71932,
2015-01-01T14:00+01:00,11475.05488,20171.13599,21442.01332,
2015-01-01T15:00+01:00,11730.77884,20961.49139,20105.03734,
2015-01-01T16:00+01:00,11663.94419,22830.4948,20959.10718,
2015-01-01T17:00+01:00,11718.23161,23584.54857,22815.12319,
2015-01-01T18:00+01:00,11583.39925,22584.58426,24265.161,
2015-01-01T19:00+01:00,11510.74666,21471.26651,25181.43964,
2015-01-01T20:00+01:00,10960.5258,20454.87637,26192.55437,
2015-01-01T21:00+01:00,10427.71898,19268.03186,27122.14409,
2015-01-01T22:00+01:00,10331.35489,18537.37481,27507.65381,
2015-01-01T23:00+01:00,9586.016153,17502.82928,28284.0807,
2015-01-02T00:00+01:00,8652.447795,16775.43972,28889.03594,
2015-01-02T01:00+01:00,7574.697583,16592.18857,29629.79121,
2015-01-02T02:00+01:00,7074.782204,16275.22282,30295.07054,
2015-01-02T03:00+01:00,6853.351179,15925.61784,31162.21234,
2015-01-02T04:00+01:00,6680.519468,15836.24628,31868.27377,
2015-01-02T05:00+01:00,7163.56921,16539.21098,32110.48138,
2015-01-02T06:00+01:00,7886.428383,17289.79133,32537.40035,
2015-01-02T07:00+01:00,8558.362128,18351.19006,32422.90576,
2015-01-02T08:00+01:00,9728.436202,20460.46013,32700.19309,
2015-01-02T09:00+01:00,10395.8237,21792.28476,32469.70169,
2015-01-02T10:00+01:00,10700.92587,22906.40464,32667.68523,
2015-01-02T11:00+01:00,10843.33797,23520.87869,33299.47763,
2015-01-02T12:00+01:00,10848.83268,23769.59079,33733.27743,
2015-01-02T13:00+01:00,10876.28504,22681.87921,33779.90569,
2015-01-02T14:00+01:00,10795.80369,22258.38543,32993.29126,
2015-01-02T15:00+01:00,10816.88971,23388.45945,32015.4769,
2015-01-02T16:00+01:00,11063.89207,24311.67728,31464.70353,
2015-01-02T17:00+01:00,11268.37003,25096.92449,30985.60736,
2015-01-02T18:00+01:00,11354.16064,24705.43793,31980.21422,
2015-01-02T19:00+01:00,11341.85715,23831.18212,32082.04387,
2015-01-02T20:00+01:00,11169.49967,21243.79676,31561.78346,
2015-01-02T21:00+01:00,10622.64346,20239.8681,31297.24316,
2015-01-02T22:00+01:00,10257.89956,19915.40437,30988.16232,
2015-01-02T23:00+01:00,8954.26745,18587.65031,30959.23463,
2015-01-03T00:00+01:00,8600.467935,16674.89359,30488.08313,
2015-01-03T01:00+01:00,8475.787802,16303.7052,29743.35916,
2015-01-03T02:00+01:00,8471.927728,15941.62356,28717.5928,
2015-01-03T03:00+01:00,9189.912132,15369.38305,27486.71742,
2015-01-03T04:00+01:00,9590.074927,15960.73986,26835.90555,
2015-01-03T05:00+01:00,9846.720851,16638.62979,26991.34658,
2015-01-03T06:00+01:00,10267.51663,16442.30199,27749.53208,
2015-01-03T07:00+01:00,10338.59816,16923.50136,28276.52529,
2015-01-03T08:00+01:00,10919.75525,18050.80625,29526.1289,
2015-01-03T09:00+01:00,11228.71485,20131.69036,30619.97423,
2015-01-03T10:00+01:00,11052.14759,22020.74344,31370.80645,
2015-01-03T11:00+01:00,11149.11043,22272.48117,31731.55784,
2015-01-03T12:00+01:00,11622.77624,22832.84676,30930.64862,
2015-01-03T13:00+01:00,11743.08498,22981.70411,29097.65069,
2015-01-03T14:00+01:00,11961.68917,23073.53924,26426.66034,
2015-01-03T15:00+01:00,11951.8628,23801.24343,24315.97593,
2015-01-03T16:00+01:00,11923.24209,24606.09623,23030.14677,
2015-01-03T17:00+01:00,11847.51628,25673.4192,22388.46577,
2015-01-03T18:00+01:00,11777.29578,26223.68298,21997.74617,
2015-01-03T19:00+01:00,11862.14853,26349.42186,21401.84085,
2015-01-03T20:00+01:00,11674.52826,26087.55499,22189.48487,
2015-01-03T21:00+01:00,11487.28684,24401.16813,23104.96354,
2015-01-03T22:00+01:00,11591.71284,23022.47315,23618.19761,
2015-01-03T23:00+01:00,11326.43805,21253.12085,24933.19502,
2015-01-04T00:00+01:00,11149.86284,16876.10077,25529.88936,
2015-01-04T01:00+01:00,10785.95348,15937.74508,26090.16938,
2015-01-04T02:00+01:00,10308.40374,15833.87349,26610.69735,
2015-01-04T03:00+01:00,10215.60035,15783.75752,26950.41177,
2015-01-04T04:00+01:00,10094.42793,15588.9931,27107.0479,
2015-01-04T05:00+01:00,9733.975951,15558.44808,26861.861,
2015-01-04T06:00+01:00,9309.367786,15632.17032,26769.57865,
2015-01-04T07:00+01:00,9292.45976,15890.5577,26213.35288,
2015-01-04T08:00+01:00,9747.227901,16700.91378,26134.71045,
2015-01-04T09:00+01:00,10862.32042,17091.86837,26430.66949,
2015-01-04T10:00+01:00,11479.44482,17545.78681,27721.98231,
2015-01-04T11:00+01:00,11625.05996,18218.7624,29033.4558,
2015-01-04T12:00+01:00,11503.57227,18470.71947,29473.28087,
2015-01-04T13:00+01:00,11395.94058,18369.82682,28617.76665,
2015-01-04T14:00+01:00,11877.57293,18368.66336,26378.39219,
2015-01-04T15:00+01:00,11917.75533,20075.90821,23726.16486,
2015-01-04T16:00+01:00,11915.66765,21471.50466,22039.45359,
2015-01-04T17:00+01:00,11958.14966,22329.85112,21898.07099,
2015-01-04T18:00+01:00,11923.9786,22457.25407,22032.62672,
2015-01-04T19:00+01:00,11930.00053,22512.35303,22642.01297,
2015-01-04T20:00+01:00,11916.53663,22777.76835,22397.53093,
2015-01-04T21:00+01:00,12011.76416,22598.85426,21298.44631,
2015-01-04T22:00+01:00,11957.03695,22679.79025,20596.5789,
2015-01-04T23:00+01:00,11744.54476,22386.30624,20577.99578,
2015-01-05T00:00+01:00,11587.90311,23588.3485,20576.39628,22.34
2015-01-05T01:00+01:00,11715.54519,22765.59526,20433.30808,17.93
2015-01-05T02:00+01:00,11509.51472,22642.17925,20635.66304,15.17
2015-01-05T03:00+01:00,11402.87918,22875.94737,20770.84462,16.38
2015-01-05T04:00+01:00,11268.19782,23954.6421,21309.05857,17.38
