Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,8145.40935,23209.44235,11279.40598,50.87
2021-01-01T01:00+01:00,8151.324903,22560.95843,10843.265,48.19
2021-01-01T02:00+01:00,8156.980432,22638.55131,10366.5714,44.68
2021-01-01T03:00+01:00,8154.410192,22803.98678,9940.520024,42.92
2021-01-01T04:00+01:00,8151.312402,22657.09022,9583.076898,40.39
2021-01-01T05:00+01:00,8151.112383,23094.04813,9399.843237,40.2
2021-01-01T06:00+01:00,8155.35528,23595.37578,9426.682957,39.63
2021-01-01T07:00+01:00,8153.527609,23212.54432,9335.610874,40.09
2021-01-01T08:00+01:00,8158.073034,23682.12875,9698.029251,41.27
2021-01-01T09:00+01:00,8160.705781,23881.6015,10920.96968,44.88
2021-01-01T10:00+01:00,8161.880891,23819.0403,12708.17637,45
2021-01-01T11:00+01:00,8161.113319,24019.84325,13917.47378,47.2
2021-01-01T12:00+01:00,8153.870141,24081.8755,14248.96573,50.78
2021-01-01T13:00+01:00,8153.975151,24028.7561,13514.16719,45.49
2021-01-01T14:00+01:00,8155.550299,24109.95019,11903.16815,44.73
2021-01-01T15:00+01:00,8157.687998,24842.50376,10185.13703,46.59
2021-01-01T16:00+01:00,8156.872922,25526.22738,10135.42752,52.99
2021-01-01T17:00+01:00,8151.764944,26093.40559,10912.41413,60.26
2021-01-01T18:00+01:00,8151.569926,26096.92422,11499.12784,60.61
2021-01-01T19:00+01:00,8155.862828,26155.98734,11915.34992,60.36
2021-01-01T20:00+01:00,8153.012561,25893.1338,12102.51298,57.4
2021-01-01T21:00+01:00,8149.762257,25437.25626,12201.81286,53.86
2021-01-01T22:00+01:00,8141.653999,24831.98002,12618.6999,53.45
2021-01-01T23:00+01:00,8142.436572,23629.57757,12235.10391,49.72
2021-01-02T00:00+01:00,8093.884531,22796.00154,11873.59418,46.69
2021-01-02T01:00+01:00,8121.127079,22366.82161,11608.11008,42.43
2021-01-02T02:00+01:00,8101.277722,21781.56557,11539.33429,41.09
2021-01-02T03:00+01:00,8095.104645,21586.97196,11376.10436,40
2021-01-02T04:00+01:00,8132.323126,22113.68627,11156.16178,37.55
