Day,Day Ahead Auction (volume weighted) (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2021,48.3926
02.01.2021,50.476
03.01.2021,38.5258
04.01.2021,47.7411
05.01.2021,55.8647
06.01.2021,52.9674
07.01.2021,71.5271
08.01.2021,79.5169
09.01.2021,59.3573
10.01.2021,52.0082
11.01.2021,48.2762
12.01.2021,46.3675
13.01.2021,42.7384
14.01.2021,70.8817
15.01.2021,74.6403
16.01.2021,55.9795
17.01.2021,53.8079
18.01.2021,56.2531
19.01.2021,45.1212
20.01.2021,36.7307
21.01.2021,30.7798
22.01.2021,43.0867
23.01.2021,51.918
24.01.2021,48.9578
25.01.2021,61.987
26.01.2021,62.2118
27.01.2021,58.9237
28.01.2021,56.0319
29.01.2021,50.2026
30.01.2021,48.7627
31.01.2021,48.3919
01.02.2021,58.5946
02.02.2021,55.5824
03.02.2021,45.1023
04.02.2021,52.8066
05.02.2021,51.941
06.02.2021,36.3186
07.02.2021,19.1861
08.02.2021,43.7518
09.02.2021,65.6216
10.02.2021,74.1372
11.02.2021,82.2184
12.02.2021,63.4806
13.02.2021,53.0437
14.02.2021,45.7114
15.02.2021,51.4403
16.02.2021,53.1181
17.02.2021,50.0669
18.02.2021,45.8113
19.02.2021,48.2297
20.02.2021,33.7401
21.02.2021,32.1273
22.02.2021,50.4882
23.02.2021,45.7638
24.02.2021,38.4074
25.02.2021,46.1768
26.02.2021,47.6024
27.02.2021,44.7441
28.02.2021,41.1894
01.03.2021,49.7542
02.03.2021,53.2471
03.03.2021,51.5977
04.03.2021,54.6275
05.03.2021,53.8757
06.03.2021,44.0309
07.03.2021,44.1209
08.03.2021,62.203
09.03.2021,61.5585
10.03.2021,50.9452
11.03.2021,28.2666
12.03.2021,21.8485
13.03.2021,11.5253
14.03.2021,14.7076
15.03.2021,49.1387
16.03.2021,56.2152
17.03.2021,57.8492
18.03.2021,65.694
19.03.2021,55.8893
20.03.2021,50.7216
21.03.2021,34.5457
22.03.2021,61.1027
23.03.2021,62.815
24.03.2021,54.8959
25.03.2021,58.836
26.03.2021,50.6409
27.03.2021,19.3943
