Day,Day Ahead Auction (volume weighted) (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2019,-4.4024
02.01.2019,24.0567
03.01.2019,57.7021
04.01.2019,49.8242
05.01.2019,41.1799
06.01.2019,54.1893
07.01.2019,50.0274
08.01.2019,34.6503
09.01.2019,40.0103
10.01.2019,67.4668
11.01.2019,49.8497
12.01.2019,40.7637
13.01.2019,14.9078
14.01.2019,32.0354
15.01.2019,45.6124
16.01.2019,45.3965
17.01.2019,42.7673
18.01.2019,61.5022
19.01.2019,55.3071
20.01.2019,53.388
21.01.2019,70.4565
22.01.2019,63.4759
23.01.2019,75.5861
24.01.2019,87.742
25.01.2019,66.5486
26.01.2019,48.8762
27.01.2019,35.307
28.01.2019,50.4352
29.01.2019,60.2698
30.01.2019,53.3565
31.01.2019,59.8071
01.02.2019,55.2849
02.02.2019,50.2961
03.02.2019,46.6775
04.02.2019,43.9302
05.02.2019,53.8973
06.02.2019,51.4672
07.02.2019,44.7512
08.02.2019,41.875
09.02.2019,6.8351
10.02.2019,27.7327
11.02.2019,31.0524
12.02.2019,46.9787
13.02.2019,45.3297
14.02.2019,48.8837
15.02.2019,47.5374
16.02.2019,38.8652
17.02.2019,38.8615
18.02.2019,46.3903
19.02.2019,41.1041
20.02.2019,45.6386
21.02.2019,42.9233
22.02.2019,47.2723
23.02.2019,39.7218
24.02.2019,39.3569
25.02.2019,44.4618
26.02.2019,44.454
27.02.2019,44.2053
28.02.2019,39.6495
01.03.2019,45.8219
02.03.2019,40.8543
03.03.2019,10.1116
04.03.2019,13.5197
05.03.2019,29.8358
06.03.2019,34.4058
07.03.2019,29.1625
08.03.2019,24.9593
09.03.2019,7.7675
10.03.2019,15.9482
11.03.2019,38.5689
12.03.2019,36.1254
13.03.2019,17.9088
14.03.2019,32.699
15.03.2019,24.9915
16.03.2019,16.3183
17.03.2019,-0.6061
18.03.2019,31.455
19.03.2019,45.4545
20.03.2019,41.315
21.03.2019,39.442
22.03.2019,40.3002
23.03.2019,35.0734
24.03.2019,33.1961
25.03.2019,32.1465
26.03.2019,36.0625
27.03.2019,40.3645
28.03.2019,42.6249
29.03.2019,39.5246
30.03.2019,34.1312
31.03.2019,26.8405
01.04.2019,37.5353
02.04.2019,33.4774
03.04.2019,42.4806
04.04.2019,42.2331
05.04.2019,42.4067
06.04.2019,37.914
07.04.2019,37.2353
