Day,Day Ahead Auction (volume weighted) (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2023,13.9585
02.01.2023,126.006
03.01.2023,149.4507
04.01.2023,60.746
05.01.2023,109.6513
06.01.2023,117.9473
07.01.2023,88.244
08.01.2023,70.8965
09.01.2023,131.2701
10.01.2023,125.5921
11.01.2023,84.33
12.01.2023,72.6927
13.01.2023,68.2219
14.01.2023,29.228
15.01.2023,9.2004
16.01.2023,131.2593
17.01.2023,136.0713
18.01.2023,146.2374
19.01.2023,150.6355
20.01.2023,184.3877
21.01.2023,144.96
22.01.2023,150.8731
23.01.2023,209.0251
24.01.2023,206.8636
25.01.2023,184.5107
26.01.2023,171.0215
27.01.2023,172.4297
28.01.2023,145.2008
29.01.2023,121.7327
30.01.2023,77.312
31.01.2023,119.0678
01.02.2023,94.0593
02.02.2023,139.3216
03.02.2023,102.6745
04.02.2023,148.0332
05.02.2023,130.0992
06.02.2023,175.4271
07.02.2023,174.1202
08.02.2023,151.6592
09.02.2023,132.7908
10.02.2023,126.781
11.02.2023,105.5013
12.02.2023,136.9559
13.02.2023,166.0141
14.02.2023,155.1575
15.02.2023,144.1917
16.02.2023,138.3568
17.02.2023,81.1185
18.02.2023,95.6005
19.02.2023,114.6628
20.02.2023,60.6363
21.02.2023,126.1396
22.02.2023,149.5562
23.02.2023,147.2498
24.02.2023,118.2119
25.02.2023,87.5725
26.02.2023,108.1972
27.02.2023,153.3908
28.02.2023,147.916
01.03.2023,141.7294
02.03.2023,143.5678
03.03.2023,136.3467
04.03.2023,106.504
05.03.2023,122.0668
06.03.2023,152.3016
07.03.2023,107.0404
08.03.2023,140.5184
09.03.2023,127.6874
10.03.2023,116.5862
11.03.2023,97.6927
12.03.2023,95.0119
13.03.2023,36.9464
14.03.2023,73.1826
15.03.2023,127.4043
16.03.2023,105.23
17.03.2023,92.3663
18.03.2023,108.5974
19.03.2023,111.9835
20.03.2023,125.5313
21.03.2023,115.2449
22.03.2023,79.118
23.03.2023,74.3723
24.03.2023,52.4261
25.03.2023,13.7309
26.03.2023,72.1902
