Day,Day Ahead Auction (volume weighted) (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2024,15.9073
02.01.2024,55.0969
03.01.2024,46.5388
04.01.2024,86.9271
05.01.2024,91.6971
06.01.2024,88.8387
07.01.2024,86.3618
08.01.2024,103.2248
09.01.2024,110.3375
10.01.2024,112.6733
11.01.2024,110.056
12.01.2024,106.6481
13.01.2024,74.0728
14.01.2024,75.7196
15.01.2024,86.597
16.01.2024,102.2127
17.01.2024,100.448
18.01.2024,93.5227
19.01.2024,79.0589
20.01.2024,73.5262
21.01.2024,50.0129
22.01.2024,51.1752
23.01.2024,54.1118
24.01.2024,34.3691
25.01.2024,79.4056
26.01.2024,59.0226
27.01.2024,67.9222
28.01.2024,58.7408
29.01.2024,82.1966
30.01.2024,78.177
31.01.2024,76.4546
01.02.2024,72.769
02.02.2024,61.872
03.02.2024,36.4142
04.02.2024,14.981
05.02.2024,36.5402
06.02.2024,46.1781
07.02.2024,80.2904
08.02.2024,89.6275
09.02.2024,70.8979
10.02.2024,72.1914
11.02.2024,61.6814
12.02.2024,75.1881
13.02.2024,72.1761
14.02.2024,68.3405
15.02.2024,70.8326
16.02.2024,60.8863
17.02.2024,66.6966
18.02.2024,52.5646
19.02.2024,65.9556
20.02.2024,63.3533
21.02.2024,57.9016
22.02.2024,51.8947
23.02.2024,44.0326
24.02.2024,56.4471
25.02.2024,60.7136
26.02.2024,66.4688
27.02.2024,74.4076
28.02.2024,72.278
29.02.2024,63.2062
01.03.2024,71.3363
02.03.2024,63.9822
03.03.2024,59.5092
04.03.2024,76.3015
05.03.2024,74.9086
06.03.2024,83.0925
07.03.2024,76.0882
08.03.2024,59.605
09.03.2024,41.8302
10.03.2024,30.5692
11.03.2024,72.5879
12.03.2024,87.4039
13.03.2024,72.6657
14.03.2024,66.8756
15.03.2024,55.391
16.03.2024,49.2249
17.03.2024,60.7189
18.03.2024,82.1448
19.03.2024,81.0873
20.03.2024,90.903
21.03.2024,81.3483
22.03.2024,67.7132
23.03.2024,34.9714
24.03.2024,23.9227
25.03.2024,85.1144
26.03.2024,63.354
27.03.2024,76.1762
28.03.2024,49.8138
29.03.2024,36.9445
30.03.2024,50.8922
31.03.2024,52.7289
01.04.2024,34.5934
02.04.2024,31.8031
03.04.2024,88.062
04.04.2024,64.5431
05.04.2024,44.7256
06.04.2024,24.6006
07.04.2024,19.4027
08.04.2024,85.0078
09.04.2024,56.0011
10.04.2024,69.8477
11.04.2024,56.0197
12.04.2024,57.7831
13.04.2024,9.6822
14.04.2024,11.3757
15.04.2024,68.0748
16.04.2024,56.9179
17.04.2024,101.945
18.04.2024,95.3138
19.04.2024,58.5086
20.04.2024,56.5401
21.04.2024,52.6899
22.04.2024,98.895
23.04.2024,97.5461
24.04.2024,94.099
25.04.2024,90.1927
26.04.2024,86.1729
27.04.2024,55.2897
28.04.2024,6.353
29.04.2024,78.4654
30.04.2024,66.0772
01.05.2024,-8.5076
02.05.2024,34.3045
03.05.2024,77.7407
04.05.2024,72.5775
05.05.2024,49.5046
06.05.2024,92.9592
07.05.2024,92.7441
08.05.2024,91.3687
09.05.2024,54.3405
10.05.2024,70.7304
11.05.2024,44.1734
12.05.2024,-11.3887
13.05.2024,43.9374
14.05.2024,21.154
15.05.2024,39.1345
16.05.2024,46.5938
17.05.2024,67.5964
18.05.2024,51.7774
19.05.2024,47.3831
20.05.2024,56.8219
21.05.2024,78.3571
22.05.2024,85.508
23.05.2024,92.4877
24.05.2024,101.7697
25.05.2024,68.1235
26.05.2024,50.0153
27.05.2024,106.9926
28.05.2024,89.4601
29.05.2024,78.7776
30.05.2024,96.1235
31.05.2024,88.735
01.06.2024,57.6563
02.06.2024,21.5035
03.06.2024,117.7932
04.06.2024,105.6025
05.06.2024,80.4039
06.06.2024,83.2578
07.06.2024,79.9759
08.06.2024,39.1924
09.06.2024,22.5182
10.06.2024,93.2229
11.06.2024,59.1449
12.06.2024,89.7972
13.06.2024,93.4023
14.06.2024,77.8836
15.06.2024,3.3149
16.06.2024,17.3927
17.06.2024,93.7965
18.06.2024,94.9187
19.06.2024,82.2973
20.06.2024,92.839
21.06.2024,97.3037
22.06.2024,49.5568
23.06.2024,46.7277
24.06.2024,89.3512
25.06.2024,70.1462
26.06.2024,447.2793
27.06.2024,90.0181
28.06.2024,57.1148
29.06.2024,64.7719
30.06.2024,41.2476
01.07.2024,90.8051
02.07.2024,84.7686
03.07.2024,87.9101
04.07.2024,25.1339
05.07.2024,33.2292
06.07.2024,2.7635
07.07.2024,18.9881
08.07.2024,85.5441
09.07.2024,71.7486
10.07.2024,78.4107
11.07.2024,90.0114
12.07.2024,90.6557
13.07.2024,24.3157
14.07.2024,13.441
