MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE918705951896,GT2,Brandenburg,Erdgas,40.94,40.428,Volleinspeisung,BASF Schwarzheide GmbH (SNB911159111601),Mittelspannung
SEE993054223955,„Turbosatz 2“,Nordrhein-Westfalen,Abfall,49.5,40.4,Teileinspeisung (einschließlich Eigenverbrauch),Oberhausener Netzgesellschaft mbH (SNB992672107807),Hochspannung
SEE964745752825,HKW III  Block A,Nordrhein-Westfalen,Erdgas,40.8,40.2,Teileinspeisung (einschließlich Eigenverbrauch),Netze Duisburg GmbH (SNB916123648602),Hochspannung
SEE919076066929,Happurg F1,Bayern,Pumpspeicher,40,40,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Hochspannung
SEE987452387340,Happurg F2,Bayern,Pumpspeicher,40,40,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Hochspannung
SEE976266175403,Happurg F3,Bayern,Pumpspeicher,40,40,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Hochspannung
SEE918067363207,Happurg F4,Bayern,Pumpspeicher,40,40,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Hochspannung
SEE975188536989,HKW-Römerbrücke GuD-Anlage,Saarland,Erdgas,41,40,Volleinspeisung,Stadtwerke Saarbrücken Netz AG (SNB985382489820),Hochspannung; Mittelspannung
SEE974080003018,TögingNeu MS1,Bayern,Wasser,40,40,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE946142465416,TögingNeu MS2,Bayern,Wasser,40,40,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE975444777408,TögingNeu MS3,Bayern,Wasser,40,40,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE927738616955,PSW Bleiloch PSS A,Thüringen,Pumpspeicher,40,39.9,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Hochspannung
SEE992590425045,PSW Bleiloch PSS B,Thüringen,Pumpspeicher,40,39.9,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Hochspannung
SEE933303289677,PSW Wendefurth PSS A,Sachsen-Anhalt,Pumpspeicher,40,39.9,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE970535357835,PSW Wendefurth PSS B,Sachsen-Anhalt,Pumpspeicher,40,39.9,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE934309192626,PSW Geesthacht PSS A,Schleswig-Holstein,Pumpspeicher,40,39.7,Volleinspeisung,Hamburger Energienetze GmbH (SNB968295079586),Hochspannung
