MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE9-Dummy-EEG,,Bayern,Solare Strahlungsenergie,24329.03036,24329.03036,,,
SEE9-Dummy-EEG,,Niedersachsen,Windenergie (Onshore-Anlage),12672.3857,12672.3857,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Solare Strahlungsenergie,11365.16269,11365.16269,,,
SEE9-Dummy-EEG,,Nordrhein-Westfalen,Solare Strahlungsenergie,10896.44095,10896.44095,,,
SEE9-Dummy-EEG,,Brandenburg,Windenergie (Onshore-Anlage),8771.86797,8771.86797,,,
SEE9-Dummy-EEG,,Schleswig-Holstein,Windenergie (Onshore-Anlage),8710.99084,8710.99084,,,
SEE9-Dummy-EEG,,Niedersachsen,Solare Strahlungsenergie,7902.960074,7902.960074,,,
SEE9-Dummy-EEG,,Nordrhein-Westfalen,Windenergie (Onshore-Anlage),7422.1266,7422.1266,,,
SEE9-Dummy-EEG,,Nordsee,Windenergie (Offshore-Anlage),7093.468,7093.468,,,
SEE9-Dummy-EEG,,Brandenburg,Solare Strahlungsenergie,6941.061773,6941.061773,,,
SEE9-Dummy-EEG,,Sachsen-Anhalt,Windenergie (Onshore-Anlage),5418.4676,5418.4676,,,
SEE9-Dummy-EEG,,Rheinland-Pfalz,Solare Strahlungsenergie,4577.625266,4577.625266,,,
SEE9-Dummy-EEG,,Sachsen-Anhalt,Solare Strahlungsenergie,4388.526812,4388.526812,,,
SEE9-Dummy-EEG,,Sachsen,Solare Strahlungsenergie,4253.451118,4253.451118,,,
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Erdgas,4233,4233,,,
SEE9-Dummy-EEG,,Hessen,Solare Strahlungsenergie,4125.466553,4125.466553,,,
SEE9-Dummy-EEG,,Rheinland-Pfalz,Windenergie (Onshore-Anlage),4022.1588,4022.1588,,,
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Solare Strahlungsenergie,3940.709733,3940.709733,,,
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Windenergie (Onshore-Anlage),3775.00232,3775.00232,,,
SEE9-Dummy-EEG,,Schleswig-Holstein,Solare Strahlungsenergie,3422.210245,3422.210245,,,
SEE9-Dummy-EEG,,Bayern,Windenergie (Onshore-Anlage),2651.285945,2651.285945,,,
SEE9-Dummy-EEG,,Thüringen,Solare Strahlungsenergie,2605.655662,2605.655662,,,
SEE9-Dummy-EEG,,Hessen,Windenergie (Onshore-Anlage),2586.68663,2586.68663,,,
SEE9-Dummy-EEG,,Bayern,Biomasse,1897.44728,1904.20028,,,
SEE9-Dummy-EEG,,Niedersachsen,Biomasse,1835.63284,1845.34634,,,
SEE9-Dummy-EEG,,Thüringen,Windenergie (Onshore-Anlage),1833.370209,1833.370209,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Windenergie (Onshore-Anlage),1823.063443,1823.063443,,,
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Batteriespeicher,1544,1544,,,
SEE951462745445,Brokdorf,Schleswig-Holstein,Kernenergie,1480,1410,,,Höchstspannung; Mittelspannung
SEE943690268513,Isar 2,Bayern,Kernenergie,1485,1410,,TenneT TSO GmbH (SNB970033313272),Höchstspannung
BNA0802,Kernkraftwerk Philippsburg 2,Baden-Württemberg,Kernenergie,,1402,,Transnet BW GmbH,Höchstspannung (HöS)
SEE9-Dummy-EEG,,Sachsen,Windenergie (Onshore-Anlage),1363.79033,1363.79033,,,
SEE930752846949,Grohnde,Niedersachsen,Kernenergie,1430,1360,Volleinspeisung,TenneT TSO GmbH (SNB970033313272); Westfalen Weser Netz GmbH (SNB929881052512),Höchstspannung; Hochspannung
SEE944567587799,Emsland A,Niedersachsen,Kernenergie,1406,1336,,,Höchstspannung
SEE985577062814,GKN II,Baden-Württemberg,Kernenergie,1400,1310,Volleinspeisung,,Höchstspannung
SEE927528071629,Gundremmingen C,Bayern,Kernenergie,1344,1288,,,Höchstspannung
BNA0381,Kernkraft Gundremmingen ,Bayern,Kernenergie,,1284,,Amprion GmbH,Höchstspannung (HöS)
BNA0355,Grafenrheinfeld,Bayern,Kernenergie,,1275,,TenneT TSO GmbH ,Höchstspannung (HöS)
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Mineralölprodukte,1270,1270,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Wasser,1225.46719,1231.05719,,,
SEE9-Dummy-EEG,,Ostsee,Windenergie (Offshore-Anlage),1227.475,1227.475,,,
SEE9-Dummy-EEG,,Bayern,Wasser,1076.577599,1103.6876,,,
SEE925599434282,Neurath F,Nordrhein-Westfalen,Braunkohle,1110,1060,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE993592183001,Neurath G,Nordrhein-Westfalen,Braunkohle,1110,1060,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE913516809497,Datteln 4,Nordrhein-Westfalen,Steinkohle,1100,1052,Teileinspeisung (einschließlich Eigenverbrauch),"Amprion GmbH (SNB976890256486); DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)",Höchstspannung; Hochspannung
SEE9-Dummy-EEG,,Saarland,Solare Strahlungsenergie,948.271605,948.271605,,,
SEE983252937631,Niederaußem K,Nordrhein-Westfalen,Braunkohle,998,944,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE998199911088,Kraftwerk Lippendorf Block S,Sachsen,Braunkohle,942,891,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE966331411864,Kraftwerk Lippendorf Block R,Sachsen,Braunkohle,942,891,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE937052769589,Heyden 4,Nordrhein-Westfalen,Steinkohle,920,875,Volleinspeisung,,Hochspannung
SEE988477355802,GKM Block 9,Baden-Württemberg,Steinkohle,911,868,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); MVV Netze GmbH (SNB985472799266); Pfalzwerke Netz AG (SNB961471621746); TransnetBW GmbH (SNB984944755380),Höchstspannung; Höchstspannung; Hochspannung; Hochspannung; Mittelspannung
SEE907389779292,Boxberg Block Q,Sachsen,Braunkohle,893,840,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE980331579218,Rheinhafen-Dampfkraftwerk RDK 8,Baden-Württemberg,Steinkohle,912,834,Teileinspeisung (einschließlich Eigenverbrauch),TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE9-Dummy-EEG,,Baden-Württemberg,Biomasse,819.27992,825.18992,,,
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Sonstige Energieträger (nicht erneuerbar),800.049,800.049,,,
SEE972471937317,Moorburg Block A,Hamburg,Steinkohle,860,800,Volleinspeisung,,Hochspannung
SEE999848168525,Moorburg Block B,Hamburg,Steinkohle,860,800,Volleinspeisung,,Hochspannung
SEE970816213751,Ibbenbüren B,Nordrhein-Westfalen,Steinkohle,838,794,Teileinspeisung (einschließlich Eigenverbrauch),,Höchstspannung; Höchstspannung
SEE9-Dummy-EEG,,Nordrhein-Westfalen,Biomasse,750.88516,779.29116,,,
SEE948609940009,Heizkraftwerk Heilbronn HLB 7,Baden-Württemberg,Steinkohle,822,778,Teileinspeisung (einschließlich Eigenverbrauch),TransnetBW GmbH (SNB984944755380),Höchstspannung
BNA0413b,Westfalen,Nordrhein-Westfalen,Steinkohle,,765,,Amprion GmbH,Höchstspannung (HöS)
SEE978327902850,Westfalen E,Nordrhein-Westfalen,Steinkohle,800,763.7,Teileinspeisung (einschließlich Eigenverbrauch),,Höchstspannung; Höchstspannung
SEE938337436349,Kraftwerk Schwarze Pumpe Block A,Brandenburg,Braunkohle,803,755,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE952672318108,Kraftwerk Schwarze Pumpe Block B,Brandenburg,Braunkohle,803,755,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE961029163353,Trianel Kohlekraftwerk Lünen,Nordrhein-Westfalen,Steinkohle,812,746,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE954971534470,Bexbach,Saarland,Steinkohle,780,726,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE970425279599,Kraftwerk Wilhelmshaven Onyx,Niedersachsen,Steinkohle,790,726,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE918143230942,Walsum 10,Nordrhein-Westfalen,Steinkohle,790,725,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE930673793902,Bergkamen A,Nordrhein-Westfalen,Steinkohle,780,720,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE907162822238,Wilhelmshaven 1 DT,Niedersachsen,Steinkohle,782,715,Volleinspeisung,,Umspannebene Höchstspannung/Hochspannung
BNA0991,KW Voerde,Nordrhein-Westfalen,Steinkohle,,695,,Amprion GmbH,Höchstspannung (HöS)
BNA0992,KW Voerde,Nordrhein-Westfalen,Steinkohle,,695,,Amprion GmbH,Höchstspannung (HöS)
SEE904194792843,KWM Block 3,Niedersachsen,Steinkohle,750,690,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
BNA0335,Scholven,Nordrhein-Westfalen,Steinkohle,,676,,Amprion GmbH,Höchstspannung (HöS)
SEE987007884447,Weisweiler G,Nordrhein-Westfalen,Braunkohle,703,663,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung; Höchstspannung; Höchstspannung
SEE948351715917,GuD Herne,Nordrhein-Westfalen,Erdgas,725.4,657,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE955314088254,Weisweiler H,Nordrhein-Westfalen,Braunkohle,696,656,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Höchstspannung; Höchstspannung
SEE906326984744,Weiher 3,Saarland,Steinkohle,724,655.6,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE957229968300,Niederaußem H,Nordrhein-Westfalen,Braunkohle,690,648,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE9-Dummy-EEG,,Schleswig-Holstein,Biomasse,637.4095,637.4095,,,
SEE968582186379,Boxberg Block R,Sachsen,Braunkohle,666,630,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE921905907730,Niederaußem G,Nordrhein-Westfalen,Braunkohle,668,628,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
BNA1046a,Gersteinwerk,Nordrhein-Westfalen,Steinkohle,,614,,"Amprion GmbH, Westnetz GmbH","380, 110"
SEE931736847297,Neurath D,Nordrhein-Westfalen,Braunkohle,647,607,Teileinspeisung (einschließlich Eigenverbrauch),,Hochspannung
SEE976414005279,Neurath E,Nordrhein-Westfalen,Braunkohle,645,604,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE975361659900,SWD KWL GuD F,Nordrhein-Westfalen,Erdgas,605,595,Volleinspeisung,Netzgesellschaft Düsseldorf mbH (SNB933956506145),Hochspannung
SEE988182827533,Staudinger 4,Hessen,Erdgas,660,580,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE948129095272,Irsching 4,Bayern,Erdgas,580,576,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE9-Dummy-EEG,,Saarland,Windenergie (Onshore-Anlage),544.6372,544.6372,,,
SEE929161243203,Staudinger 5,Hessen,Steinkohle,550,522,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE980016033738,Rheinhafen-Dampfkraftwerk RDK 7,Baden-Württemberg,Steinkohle,536,517,Teileinspeisung (einschließlich Eigenverbrauch),TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE943427876363,Kraftwerk Rostock Block A,Mecklenburg-Vorpommern,Steinkohle,553,514,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE985842749525,Boxberg Block N,Sachsen,Braunkohle,540,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE908125004449,Boxberg Block P,Sachsen,Braunkohle,540,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE991817093418,Kraftwerk Jänschwalde Block A,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE938669585906,Kraftwerk Jänschwalde Block B,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE989591633753,Kraftwerk Jänschwalde Block C,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE923943268279,Kraftwerk Jänschwalde Block D,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE985047526785,Kraftwerk Jänschwalde Block E,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE964729462818,Kraftwerk Jänschwalde Block F,Brandenburg,Braunkohle,535,500,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE958847865460,Kraftwerk Zolling,Bayern,Steinkohle,501,472,Teileinspeisung (einschließlich Eigenverbrauch),TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE945908806647,Herne 4,Nordrhein-Westfalen,Steinkohle,511,460,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung; Höchstspannung
SEE931050475398,GuD Niehl 3 RheinEnergie,Nordrhein-Westfalen,Erdgas,459.9,452.9,Volleinspeisung,Amprion GmbH (SNB976890256486); Rheinische NETZGesellschaft mbH (SNB924477581384),Höchstspannung; Hochspannung
SEE960652233358,Schkopau A,Sachsen-Anhalt,Braunkohle,500,450,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE947677200282,Schkopau B,Sachsen-Anhalt,Braunkohle,500,450,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE987970110314,Trianel Gaskraftwerk Hamm Block 10,Nordrhein-Westfalen,Erdgas,453,445,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE900628853036,Trianel Gaskraftwerk Hamm Block 20,Nordrhein-Westfalen,Erdgas,453,445,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE989202977269,GUD Mibü,Bremen,Erdgas,460,444.5,Teileinspeisung (einschließlich Eigenverbrauch),wesernetz Bremen GmbH (SNB942238573102),Hochspannung
SEE975507584615,GKM Block 8,Baden-Württemberg,Steinkohle,480,435,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); MVV Netze GmbH (SNB985472799266); Pfalzwerke Netz AG (SNB961471621746); TransnetBW GmbH (SNB984944755380),Höchstspannung; Höchstspannung; Hochspannung; Hochspannung; Mittelspannung
SEE944503176377,Heizkraftwerk  Altbach/Deizisau HKW 1,Baden-Württemberg,Steinkohle,476,433,Teileinspeisung (einschließlich Eigenverbrauch),TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE907597880766,Kraftwerk Emden Dampfturbine,Niedersachsen,Erdgas,450,433,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE999346426134,Kraftwerk Landesbergen Dampfturbine,Niedersachsen,Erdgas,450,431,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE903983424590,Kraftwerk Knapsack II,Nordrhein-Westfalen,Erdgas,450,430,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE988699847857,GKM Block 7,Baden-Württemberg,Steinkohle,475,425,Volleinspeisung,TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE9-Dummy-EEG,,Brandenburg,Biomasse,411.8488,419.4338,,,
SEE942982288260,Cuno Heizkraftwerk Herdecke H6,Nordrhein-Westfalen,Erdgas,432,417,Volleinspeisung,ENERVIE Vernetzt GmbH (SNB921319639913),Hochspannung
SEE963541517812,Irsching 3,Bayern,Mineralölprodukte,440,415,Volleinspeisung,,Höchstspannung
SEE922477386435,Franken DT2,Bayern,Erdgas,395,387,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE950675787617,Ingolstadt 3,Bayern,Mineralölprodukte,420,386,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE983645175053,Ingolstadt 4,Bayern,Mineralölprodukte,420,386,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE911764038249,Franken DT1,Bayern,Erdgas,395,383,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE9-Dummy-EEG,,Sachsen-Anhalt,Biomasse,372.86186,380.30486,,,
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Biomasse,378.82075,378.82075,,,
SEE978389589440,Walsum 9,Nordrhein-Westfalen,Steinkohle,410,370,Teileinspeisung (einschließlich Eigenverbrauch),,
SEE985908351792,Emsland B DT,Niedersachsen,Erdgas,372.6,359,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE994418588468,Emsland C DT,Niedersachsen,Erdgas,372.6,359,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE942237774470,Gersteinwerk F DT (F2),Nordrhein-Westfalen,Erdgas,355,355,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE908672656115,Gersteinwerk G DT (G2),Nordrhein-Westfalen,Erdgas,355,355,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE939426112649,Gersteinwerk I DT (I2),Nordrhein-Westfalen,Erdgas,355,355,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
BNA0439,Buschhaus,Niedersachsen,Braunkohle,,352,,Höchstspannung (HöS),TenneT TSO GmbH 
SEE904968236689,Kraftwerk Farge,Bremen,Steinkohle,380,350,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE952352206145,Scholven B,Nordrhein-Westfalen,Steinkohle,370,345,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
SEE933236950972,Scholven C,Nordrhein-Westfalen,Steinkohle,370,345,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486),Höchstspannung
BNA0203,Knepper,Nordrhein-Westfalen,Steinkohle,,345,,Amprion GmbH,Höchstspannung (HöS)
BNA0333,Scholven,Nordrhein-Westfalen,Steinkohle,,345,,Amprion GmbH,Höchstspannung (HöS)
BNA0334,Scholven,Nordrhein-Westfalen,Steinkohle,,345,,Amprion GmbH,Höchstspannung (HöS)
SEE979958390276,Emsland D DT,Niedersachsen,Erdgas,345.135,340,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
BNA0811,Kraftwerk Veltheim,Nordrhein-Westfalen,Erdgas,,335,,Netz Veltheim GmbH,Höchstspannung (HöS)
SEE952372080091,SWM HKW Nord 2 T20,Bayern,Erdgas,363,333,Teileinspeisung (einschließlich Eigenverbrauch),SWM Infrastruktur GmbH & Co. KG (SNB969473762610),Hochspannung; Hochspannung; Hochspannung
SEE9-Dummy-EEG,,Berlin,Solare Strahlungsenergie,329.464714,329.464714,,,
BNA0619,KW Lünen,Nordrhein-Westfalen,Steinkohle,,324,,Amprion GmbH,Höchstspannung (HöS)
SEE965782597448,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),Baden-Württemberg,Steinkohle,354,323,Teileinspeisung (einschließlich Eigenverbrauch),TransnetBW GmbH (SNB984944755380),Höchstspannung
BNA0526,Gemeinschaftskraftwerk Kiel,Schleswig-Holstein,Steinkohle,,323,,TenneT TSO GmbH ,Höchstspannung (HöS)
BNA0990,KW West,Nordrhein-Westfalen,Steinkohle,,322,,Amprion GmbH,Höchstspannung (HöS)
SEE974201537415,Huntorf GT,Niedersachsen,Erdgas,323,321,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE933685962403,Weisweiler F,Nordrhein-Westfalen,Braunkohle,361,321,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); Westnetz GmbH (SNB921897286493),Höchstspannung; Höchstspannung; Höchstspannung
SEE904421343152,Weisweiler E,Nordrhein-Westfalen,Braunkohle,375,321,Teileinspeisung (einschließlich Eigenverbrauch),,Umspannebene Höchstspannung/Hochspannung
BNA0989,KW West,Nordrhein-Westfalen,Steinkohle,,318,,Amprion GmbH,Höchstspannung (HöS)
SEE916274994887,bnBm Gaskraftwerk Leipheim,Bayern,Erdgas,311.6,310,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE933361522259,Kraftwerk Marbach MAR 4,Baden-Württemberg,Mineralölprodukte,310,310,Volleinspeisung,TransnetBW GmbH (SNB984944755380),Höchstspannung
BNA1037,Kraftwerk Werdohl-Elverlingsen,Nordrhein-Westfalen,Steinkohle,,310,,Enervie AssetNetWork GmbH ,Höchstspannung (HöS)
SEE930982693153,Knapsack I - Gasturbine  GT11,Nordrhein-Westfalen,Erdgas,308,308,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE905192478234,Knapsack I - Gasturbine GT12,Nordrhein-Westfalen,Erdgas,308,308,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Windenergie (Offshore-Anlage),305.475,305.475,,,
SEE939242219362,Huckingen A,Nordrhein-Westfalen,Sonstige Energieträger (nicht erneuerbar),320,303,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE992213654456,Huckingen B,Nordrhein-Westfalen,Sonstige Energieträger (nicht erneuerbar),320,303,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
BNA0813,Kraftwerk Veltheim,Nordrhein-Westfalen,Steinkohle,,303,,Netz Veltheim GmbH,Höchstspannung (HöS)
BNA0146,KW Hafen,Bremen,Steinkohle,330,303,,,
SEE9-Dummy-EEG,,Sachsen,Biomasse,300.28335,302.89135,,,
SEE915432109163,Irsching 6,Bayern,Erdgas,320,300,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE930228090937,Niederaußem F,Nordrhein-Westfalen,Braunkohle,334,299,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
BNA0705 ,Niederaußem D,Nordrhein-Westfalen,Braunkohle,,297,,,
SEE997585564112,illwerke vkw Rodundwerk II M1,Österreich,Pumpspeicher,295,295,Volleinspeisung,TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE967605837250,Niederaußem C,Nordrhein-Westfalen,Braunkohle,333,295,Teileinspeisung (einschließlich Eigenverbrauch),,Höchstspannung
SEE901786750397,Niederaußem E,Nordrhein-Westfalen,Braunkohle,324,295,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE979012663285,Neurath B,Nordrhein-Westfalen,Braunkohle,318,294,Teileinspeisung (einschließlich Eigenverbrauch),,Höchstspannung
SEE907150117643,Neurath A,Nordrhein-Westfalen,Braunkohle,294,294,Volleinspeisung,Amprion GmbH (SNB976890256486); Westnetz GmbH (SNB921897286493),Höchstspannung
SEE911671792326,Emsland D GT1,Niedersachsen,Erdgas,297.93,293.5,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE929022761297,Emsland D GT2,Niedersachsen,Erdgas,297.93,293.5,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
BNA0376,Staudinger,Hessen,Steinkohle,,293,,TenneT TSO GmbH ,Höchstspannung (HöS)
BNA0221c,Gasblock,Nordrhein-Westfalen,Erdgas,,293,,Netzgesellschaft Düsseldorf mbH ,Hochspannung (HS)
SEE978971638464,Neurath C,Nordrhein-Westfalen,Braunkohle,316,292,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung; Höchstspannung
SEE909927513559,KW3 GT31,Rheinland-Pfalz,Erdgas,296.3,291.3,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
BNA0413a,Westfalen,Nordrhein-Westfalen,Steinkohle,,284,,Westnetz GmbH,Hochspannung (HS)
SEE992750539261,Frimmersdorf P,Nordrhein-Westfalen,Braunkohle,333,284,Volleinspeisung,Westnetz GmbH (SNB921897286493),Umspannebene Höchstspannung/Hochspannung
BNA0252,Kraftwerk Ensdorf,Saarland,Steinkohle,,283,,VSE Verteilnetz GmbH,Hochspannung (HS)
SEE989328541450,HKW Reuter West Dampfturbine D,Berlin,Steinkohle,300,282,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236); Stromnetz Berlin GmbH (SNB979269087643),Höchstspannung; Hochspannung
SEE974883809046,HKW Reuter West Dampfturbine E,Berlin,Steinkohle,300,282,Teileinspeisung (einschließlich Eigenverbrauch),50Hertz Transmission GmbH (SNB982046657236); Stromnetz Berlin GmbH (SNB979269087643),Höchstspannung; Hochspannung
SEE915883553447,Irsching 5 DT,Bayern,Erdgas,286,282,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE973737205324,Irsching 5 GT1,Bayern,Erdgas,287,282,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE924780675428,Irsching 5 GT2,Bayern,Erdgas,287,282,Volleinspeisung,TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE959576281422,Knapsack I - Dampfturbine - DT 10,Nordrhein-Westfalen,Erdgas,280,280,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
BNA0449,KW Herne,Nordrhein-Westfalen,Steinkohle,,280,,Amprion GmbH,Höchstspannung (HöS)
SEE999431209765,Frimmersdorf Q,Nordrhein-Westfalen,Braunkohle,321,278,Volleinspeisung,,Umspannebene Höchstspannung/Hochspannung
SEE984335626152,GT Niehl 2 RheinEnergie,Nordrhein-Westfalen,Erdgas,274,266,Volleinspeisung,Rheinische NETZGesellschaft mbH (SNB924477581384),Hochspannung
SEE904088512342,Kraftwerk Marbach MAR 3 DT,Baden-Württemberg,Mineralölprodukte,275,263.5,Volleinspeisung,,Höchstspannung
